1949894	57.06	7.16	17.18		-1407	1819	2693
1950048	57.05	6.65	17.28		-1400	1926	2730
1950303	62.12	5.36	13.00		-670	2048	3398
1950455	61.51	6.14	12.77		-777	1929	3395
1950811	54.26	5.22	2.69		477	1269	2459
1950961	54.31	5.25	2.46		506	1238	2467
1951212	53.32	8.41	1.25		451	650	2718
1951362	53.38	8.43	1.33		442	658	2715
1951612	54.80	9.88	3.69		1	573	2597
1951759	54.85	9.88	3.69		-4	569	2590
1952008	55.14	12.75	3.92		66	568	2712
1952157	55.04	12.96	3.94		31	520	2709
1952408	54.11	13.04	0.33		312	19	2825
1952558	54.11	12.83	0.21		342	24	2852
1952807	49.98	-2.64	2.33		2411	4619	156
1952959	50.34	-1.72	2.25		2518	4878	-193
1953213	-167.06	70.48	114.05		-2965	-7025	12682
1953474	96.08	61.72	16.04		-979	-5632	4428
1953730	88.49	56.60	5.80		-652	-6130	3839
1953985	90.23	48.98	6.27		-268	-4412	2938
1954140	90.17	48.70	6.50		-292	-4308	2956
1954394	77.39	69.64	2.84		-1614	-7827	5661
1954549	77.15	69.91	1.85		-1445	-7878	5677
1954805	113.82	82.23	34.64		-1797	-9926	8382
1955063	147.61	72.65	55.03		202	-9800	7966
1955219	148.98	72.36	55.97		159	-9819	7992
1955475	173.92	70.59	84.18		101	-10257	9752
1955732	167.11	66.78	76.75		-174	-10779	10291
1955991	148.02	56.96	54.57		-248	-9836	8542
1956148	147.49	56.56	53.95		-287	-9813	8460
1956405	133.44	41.75	33.51		-226	-8426	5789
1956662	127.56	34.05	23.83		-80	-7465	4698
1956817	127.33	33.75	23.49		-87	-7414	4662
1957073	123.51	21.02	13.24		29	-5521	3461
1957227	123.12	20.85	12.86		-19839	-24686	27467
1957590	126.29	23.59	12.88		645	-5060	4111
1957745	126.11	24.16	12.77		802	-5224	4150
1958000	166.15	12.68	-2.47		3043	-1984	3041
1958257	154.02	-3.50	2.32		517	-1922	3099
1958412	153.79	-3.98	2.56		474	-1915	3102
