1168279	48.55	27.32	-25.33		1682	-3059	4603
1168435	51.71	nan	-34.91		-32037	3676	-11105
1168693	78.97	79.35	-36.16		4233	-5120	8190
1168950	104.73	44.85	23.10		-1891	-3466	4328
1169208	77.00	-4.02	18.59		-2314	2445	2909
1169362	76.45	-5.93	18.76		25034	21130	-8154
1169620	101.00	-25.34	30.82		-3917	3597	5244
1169880	117.18	25.98	47.63		-3220	-2612	6344
1170138	118.63	19.25	49.38		-3896	-2591	5017
1170396	109.55	-8.55	27.44		-3430	1852	3184
1170653	115.58	-14.59	10.69		-1524	3278	3328
1170810	116.16	-13.96	10.84		25175	27747	32756
1171070	120.03	4.11	18.03		-1166	355	3786
1171325	114.23	-14.22	4.40		-728	3250	3428
1171581	109.05	-17.34	-3.78		164	3603	3555
1171737	109.02	-16.90	-3.85		177	3509	3573
1171992	111.43	6.47	4.05		428	462	3501
1172143	111.37	6.50	4.11		397	491	3526
1172395	115.60	10.88	4.29		936	270	3449
1172546	115.62	11.16	4.47		953	221	3463
1172899	91.92	-2.88	6.51		352	1101	2661
1173051	91.00	-3.32	6.93		333	1191	2574
1173304	-68.19	-50.05	-54.14		-6168	1059	12626
1173565	91.47	66.11	160.50		-5605	10287	10884
1173824	140.69	-31.51	-118.46		4126	3850	15392
1174085	41.57	-40.44	-19.02		4587	1057	6409
1174341	3.67	1.21	-9.20		-476	-543	4466
1174493	2.48	2.55	-9.78		-641	-663	4426
1174746	-108.65	28.48	-42.72		-4278	3714	6559
1175106	-143.11	14.77	-47.35		-2240	4050	6151
1175365	-155.99	8.10	-45.48		-1749	4635	6118
1175522	9.65	nan	121.83		13222	30407	7210
1175777	-158.05	-1.47	-30.50		-1443	2443	4620
1176036	-157.50	-5.79	-23.68		-1768	1126	4202
1176295	-159.50	-5.11	-19.81		-1277	653	3838
1176553	-162.80	-6.20	-16.97		-1418	487	3760
1176710	71.16	nan	-60.07		-26308	10386	18246
1176968	-165.29	-4.06	-12.91		-795	130	3654
1177225	-164.16	-1.98	-12.04		-483	103	3571
1177482	-163.27	-0.51	-11.07		-232	29	3498
1177636	-163.26	-0.49	-11.00		-228	23	3500
1177892	-159.73	0.74	-7.70		-244	-662	3418
1178047	-158.98	0.96	-7.60		-1971	12598	-27980
1178307	-121.80	9.47	6.57		2369	-348	3771
