2135085	97.27	-21.69	23.90		-2639	2703	1454
2135240	-93.69	60.36	3.03		-3393	7846	-21309
2135498	104.48	-15.79	13.84		-1288	1880	771
2135755	105.93	-9.72	13.10		-1043	1165	518
2136011	110.34	-3.94	14.81		-1118	-237	445
2136167	110.33	-3.83	14.84		-1140	-265	445
2136423	112.96	-4.41	12.38		-831	-26	331
2136576	113.01	-4.51	12.30		-839	0	331
2136826	124.59	-4.08	9.61		-300	-15	419
2136978	-39.21	nan	-126.81		599	1478	13707
2137233	125.90	-1.72	10.25		-264	-280	409
2137387	110.59	-21.85	-6.96		863	7554	-11932
2137646	122.26	-1.51	10.04		-203	-491	144
2137900	119.66	2.06	4.08		617	130	223
2138049	120.26	2.44	3.78		715	48	269
2138298	138.50	9.49	4.37		1921	-1613	375
2138451	138.58	9.27	4.40		1844	-1603	357
2138704	124.35	-1.94	-0.50		1363	878	496
2138958	122.28	-4.43	2.28		620	867	377
2139109	122.36	-4.36	2.36		645	842	380
2139360	130.38	-0.66	7.59		141	-142	167
2139511	130.57	-0.48	7.68		70	-145	216
2139763	146.94	2.49	11.54		601	-1962	311
2140017	124.41	-4.30	10.33		-616	532	518
2140170	124.43	-4.23	10.30		-604	502	533
2140524	142.11	2.13	11.09		222	-1820	169
2140677	141.97	2.16	10.68		206	-1769	193
2140931	127.22	7.12	-41.81		7159	3256	5291
2141187	128.70	7.26	-88.07		8909	5935	11564
2141444	158.88	-2.41	-108.91		3625	7298	14880
2141703	172.15	8.11	-110.30		974	7041	15289
2141859	170.78	2.55	178.24		26724	5722	21041
2142117	-153.18	40.29	-92.67		-3442	5691	11848
2142379	-141.14	39.66	-77.43		-3788	5353	10312
2142639	-138.74	33.84	-64.99		-3132	5136	8784
2142898	-135.42	31.27	-52.47		-2458	4766	7266
2143158	-133.28	27.31	-42.25		-2043	4096	6196
2143417	-127.20	24.44	-32.79		-1493	3317	5077
2143676	-122.61	17.26	-25.78		-1505	2031	4507
2143935	-118.57	12.17	-20.23		-1268	1142	4142
2144195	-112.30	9.45	-15.43		-1048	399	3944
2144451	-100.96	8.66	-7.54		-320	238	3742
2144706	-70.94	-0.47	5.94		1822	-702	3791
2144860	-69.85	-1.01	6.29		1932	-724	3811
2145115	-48.37	-9.48	3.01		2357	-1079	3929
2145371	-38.62	-1.05	-6.22		682	-679	3834
2145625	-13.45	1.63	-37.44		-21	-3204	5576
2145780	-12.49	1.99	-39.08		16	-3349	5660
2146034	-6.30	16.03	-109.76		525	-6005	11999
2146192	-3.01	-12.72	-110.45		-542	14608	22272
2146452	32.53	-69.52	171.81		-5285	-4035	15666
2146813	-159.13	-12.75	18.35		552	-3097	4851
2146970	-38.07	nan	39.32		-23187	32405	-20912
2147229	-128.62	11.03	10.17		2714	-1370	4317
2147487	-132.63	8.33	-0.18		650	-560	3568
2147742	-132.75	7.41	-8.80		331	40	3848
2147894	-132.62	7.26	-9.15		295	1	3841
2148146	-112.04	9.31	-16.32		-990	1187	3837
2148402	-64.76	5.35	-23.17		-878	71	3475
2148555	-62.55	4.96	-24.21		-923	-114	3503
2148810	-3.59	13.82	-57.88		4	-4878	6047
2148963	-3.74	14.82	-57.30		-168	-4871	6030
2149220	-5.98	37.40	-10.00		-4256	656	3375
2149376	-5.34	37.03	-9.23		-4164	752	3339
2149629	8.50	26.17	-10.86		-2064	-549	3730
2149785	8.88	25.81	-10.29		-23965	-5206	-18389
2150045	11.15	17.39	-8.31		-926	287	3153
2150299	11.80	17.38	-7.73		-1123	98	2635
2150452	11.90	17.28	-7.48		-1111	149	2629
2150707	13.54	16.15	-6.17		-965	425	2689
2150859	13.48	16.07	-6.17		-957	434	2693
2151113	6.10	7.02	-11.43		101	-323	2613
2151365	8.62	1.45	-8.55		1442	544	2795
2151516	8.41	1.68	-8.51		1342	494	2776
2151768	9.86	10.38	-7.23		-179	372	2612
2151919	9.95	10.48	-7.14		-193	376	2607
2152171	15.59	11.42	-2.97		-366	1170	2740
2152426	17.69	13.07	-3.10		-616	757	2712
