2355081	-174.50	0.50	-0.51		653	-896	3892
2355234	-173.98	0.80	-0.49		673	-894	3916
2355489	-157.08	13.01	-2.63		2205	236	3946
2355644	-157.06	13.08	-2.68		2225	232	3940
2355900	-166.13	1.43	-5.44		746	-52	3989
2356052	-166.70	0.95	-5.45		661	4	4034
2356303	-176.15	-8.89	-1.99		-370	-624	3866
2356560	176.96	-11.41	1.13		-893	-1083	4100
2356817	-178.08	-10.70	-4.31		-450	-187	3758
2357177	-173.75	-7.00	-2.54		-360	-726	3784
2357332	-173.95	-6.81	-2.42		-357	-741	3785
2357590	-164.21	-1.39	3.48		895	-1106	3979
2357846	-159.68	-7.52	1.49		97	-933	3877
2357998	-159.48	-7.68	1.34		61	-928	3856
2358251	-149.48	-10.20	1.26		108	-760	3934
2358507	-139.46	-15.27	8.52		263	-1705	3901
2358764	-120.41	-30.42	21.33		1686	-2831	5535
2359024	-102.87	-32.35	16.94		2184	-2940	4883
2359283	-106.21	-8.08	2.23		467	456	3436
2359436	-106.30	-7.52	2.00		472	538	3395
2359689	-105.12	-13.27	0.58		501	-439	3843
2359945	-105.68	-17.41	-1.36		-100	-887	3754
2360203	-103.56	-8.49	-1.86		246	385	3547
2360356	-103.47	-8.07	-1.86		261	445	3529
2360611	-103.97	-3.05	-1.80		350	947	3775
2360765	-103.98	-3.07	-1.81		344	943	3777
2361020	-103.25	3.82	-2.09		615	1695	3928
2361174	-103.33	4.09	-2.13		601	1725	3909
2361428	-103.98	4.66	-2.95		172	1945	3633
2361582	-103.72	4.22	-2.77		170	1897	3646
2361938	-105.52	-17.34	6.91		1100	-1593	4786
2362095	-96.70	35.40	159.67		10963	-5227	25694
2362457	-105.84	-12.26	4.27		760	-300	3732
2362612	-106.06	-12.69	4.52		782	-322	3748
2362867	-108.39	-12.48	5.12		621	-119	3499
2363023	-108.27	-12.18	4.98		629	-78	3491
2363277	-108.13	-9.55	1.72		339	-15	3831
2363429	-108.42	-9.62	1.65		282	-34	3842
2363785	-110.32	-8.07	2.27		259	553	3301
2363937	-110.19	-7.73	2.03		251	602	3319
2364190	-107.83	-6.15	-0.52		164	744	3549
2364445	-106.55	-7.78	0.39		135	442	3695
2364598	-106.57	-7.87	0.51		144	416	3695
2364952	-105.66	-9.27	1.12		184	261	3644
2365105	-105.66	-9.24	1.06		172	259	3643
2365359	-105.28	-8.89	1.13		232	377	3564
2365613	-105.08	-11.01	0.85		58	89	3575
2365764	-105.06	-11.11	0.90		66	73	3575
2366016	-105.54	-12.37	1.04		211	366	3771
2366271	-105.41	-12.89	0.96		27	14	3552
2366423	-105.45	-12.80	1.00		34	25	3547
2366675	-106.92	-13.40	3.96		398	-174	3484
2366931	-108.45	-14.55	3.26		214	-265	3459
2367086	179.30	-6.59	-162.91		28080	-29257	20406
2367349	-110.76	-16.54	3.95		295	-523	3466
2367504	-110.96	-16.51	4.04		277	-556	3491
2367760	-120.24	-5.57	-0.77		-1	3641	704
2367912	-119.99	-6.26	-0.70		-104	4111	254
2368168	-167.05	69.24	-119.30		-8507	12686	9351
2368430	-55.69	25.11	36.78		2160	6413	5605
2368686	-99.66	22.36	59.39		2446	152	8677
2368839	-99.60	23.96	60.77		2598	-22	8826
2369196	160.54	72.32	-105.48		317	7857	10250
2369555	-123.34	40.42	-33.29		-1294	4533	6444
2369814	-123.60	13.78	-23.98		-2126	1874	4573
2370073	-111.14	19.36	-19.12		-1308	1694	4819
2370333	-109.76	53.31	-24.01		-959	5235	6995
2370490	-109.85	54.37	-24.63		26171	-22859	29607
2370753	125.29	68.80	-163.75		-1869	7483	10635
2371013	-177.02	65.29	-106.91		-3621	7253	9887
2371274	-109.25	62.98	-34.47		-2158	5289	5058
2371533	-79.87	56.92	-5.42		-1135	5804	4826
2371790	-103.25	54.64	-17.64		-693	5142	3999
2371948	-94.24	-3.52	32.49		-27230	13977	18822
2372208	-87.42	56.10	-27.12		-3689	5577	3570
2372466	-65.10	56.86	-0.84		-2800	5628	4772
2372723	-49.58	58.02	7.36		-2061	7889	3252
2372979	-67.96	39.76	-17.82		-4712	3714	2695
2373237	-69.98	28.99	-5.84		-1190	3120	449
2373393	-70.15	28.91	-5.57		-1188	3215	540
2373649	-55.81	34.05	-1.80		-1575	4876	947
2373804	-56.97	34.10	-2.69		-1401	5093	877
2374060	-64.61	14.89	-6.39		-107	1694	-553
2374214	110.98	nan	-68.95		-9303	27903	14236
2374472	-90.31	18.15	-2.11		32	2603	798
2374623	24.59	nan	-33.67		4549	-25498	-15029
2374881	-130.94	-2.10	-12.44		-2292	1395	1012
2375141	165.16	-14.27	6.36		-4181	-113	1351
2375398	82.80	28.71	23.72		-5148	-2992	993
2375653	4.35	40.60	6.40		-6473	1324	2947
