	30.26	-57.30	areal	-2120	-7464	3810
16:53:01.005 -> euler	21.94	17.02	-14.36	areal	-1816	-3496	0
16:53:01.040 -> euler	21.89	16.93	-14.27	areal	-1835	-3453	-11
16:53:01.040 -> euler	21.89	16.84	-14.19	areal	-1849	-3416	-21
16:53:01.040 -> euler	21.93	16.77	-14.09	areal	-1865	-3390	-30
16:53:01.076 -> euler	22.01	16.69	-14.00	areal	-1868	-3376	-41
16:53:01.076 -> euler	22.09	16.61	-13.90	areal	-1854	-3368	-52
16:53:01.076 -> euler	22.12	16.54	-13.81	areal	-1821	-3363	-56
16:53:01.076 -> euler	22.12	16.47	-13.71	areal	-1780	-3361	-60
16:53:01.121 -> euler	22.10	16.41	-13.62	areal	-1740	-3362	-66
16:53:01.121 -> euler	22.11	16.34	-13.52	areal	-1707	-3365	-73
16:53:01.121 -> euler	22.18	16.26	-13.43	areal	-1681	-3372	-88
16:53:01.121 -> euler	22.30	16.18	-13.35	areal	-1656	-3378	-96
16:53:01.121 -> euler	22.47	16.09	-13.28	areal	-1626	-3383	-98
16:53:01.156 -> euler	22.66	16.00	-13.21	areal	-1592	-3386	-99
16:53:01.156 -> euler	22.90	15.90	-13.14	areal	-1559	-3384	-97
16:53:01.156 -> euler	23.17	15.81	-13.09	areal	-1527	-3382	-97
16:53:01.193 -> euler	23.48	15.70	-13.05	areal	-1498	-3375	-99
16:53:01.193 -> euler	23.84	15.59	-13.01	areal	-1473	-3375	-99
16:53:01.193 -> euler	24.28	15.47	-12.99	areal	-1451	-3381	-102
16:53:01.193 -> euler	24.77	15.36	-12.98	areal	-1437	-3394	-108
16:53:01.232 -> euler	25.28	15.23	-12.98	areal	-1425	-3406	-113
16:53:01.232 -> euler	25.73	15.13	-12.99	areal	-1417	-3411	-119
16:53:01.232 -> euler	26.07	15.02	-13.01	areal	-1413	-3407	-120
16:53:01.232 -> euler	26.30	14.94	-13.05	areal	-1412	-3391	-120
16:53:01.271 -> euler	26.40	14.87	-13.10	areal	-1416	-3370	-114
16:53:01.271 -> euler	26.41	14.81	-13.15	areal	-1423	-3351	-106
16:53:01.271 -> euler	26.37	14.76	-13.22	areal	-1429	-3333	-94
16:53:01.271 -> euler	26.28	14.72	-13.28	areal	-1432	-3316	-77
16:53:01.307 -> euler	26.18	14.68	-13.34	areal	-1425	-3300	-60
16:53:01.307 -> euler	26.06	14.65	-13.40	areal	-1414	-3287	-43
16:53:01.307 -> euler	25.93	14.62	-13.46	areal	-1400	-3279	-28
16:53:01.351 -> euler	25.77	14.60	-13.52	areal	-1380	-3277	-13
16:53:01.351 -> euler	25.60	14.58	-13.57	areal	-1352	-3277	1
16:53:01.351 -> euler	25.42	14.55	-13.61	areal	-1319	-3285	13
16:53:01.351 -> euler	25.24	14.53	-13.65	areal	-1280	-3297	23
16:53:01.351 -> euler	25.06	14.50	-13.69	areal	-1237	-3308	30
16:53:01.387 -> euler	24.90	14.46	-13.73	areal	-1188	-3318	36
16:53:01.387 -> euler	24.76	14.42	-13.76	areal	-1140	-3322	42
16:53:01.387 -> euler	24.64	14.37	-13.80	areal	-1099	-3318	48
16:53:01.429 -> euler	24.56	14.31	-13.84	areal	-1064	-3304	55
16:53:01.429 -> euler	24.51	14.23	-13.88	areal	-1034	-3276	62
16:53:01.429 -> euler	24.48	14.14	-13.91	areal	-1015	-3242	69
16:53:01.429 -> euler	24.49	14.03	-13.93	areal	-1000	-3206	72
16:53:01.467 -> euler	24.50	13.91	-13.94	areal	-998	-3168	68
16:53:01.467 -> euler	24.51	13.77	-13.93	areal	-1001	-3135	58
16:53:01.467 -> euler	24.54	13.63	-13.92	areal	-1007	-3109	47
16:53:01.467 -> euler	24.58	13.48	-13.89	areal	-1013	-3088	30
16:53:01.502 -> euler	24.66	13.31	-13.83	areal	-1018	-3070	13
16:53:01.502 -> euler	24.78	13.14	-13.77	areal	-1023	-3056	-1
16:53:01.502 -> euler	24.92	12.96	-13.69	areal	-1025	-3041	-20
16:53:01.502 -> euler	25.06	12.78	-13.59	areal	-1028	-3028	-39
16:53:01.539 -> euler	25.16	12.60	-13.49	areal	-1030	-3016	-61
16:53:01.539 -> euler	25.22	12.42	-13.37	areal	-1030	-3002	-82
16:53:01.539 -> euler	25.24	12.24	-13.23	areal	-1031	-2987	-103
16:53:01.578 -> euler	25.24	12.06	-13.09	areal	-1036	-2974	-126
16:53:01.578 -> euler	25.22	11.88	-12.93	areal	-1034	-2958	-147
16:53:01.578 -> euler	25.23	11.71	-12.76	areal	-1033	-2943	-162
16:53:01.578 -> euler	25.26	11.54	-12.58	areal	-1025	-2927	-173
16:53:01.620 -> euler	25.29	11.37	-12.39	areal	-1014	-2907	-181
16:53:01.620 -> euler	25.29	11.19	-12.20	areal	-995	-2882	-191
16:53:01.620 -> euler	25.25	11.03	-12.01	areal	-975	-2861	-198
16:53:01.620 -> euler	25.19	10.86	-11.80	areal	-952	-2840	-205
16:53:01.655 -> euler	25.09	10.70	-11.59	areal	-925	-2821	-214
16:53:01.655 -> euler	24.99	10.53	-11.38	areal	-893	-2807	-221
16:53:01.655 -> euler	24.88	10.36	-11.17	areal	-861	-2795	-233
16:53:01.655 -> euler	24.79	10.19	-10.97	areal	-837	-2784	-245
16:53:01.691 -> euler	24.72	10.01	-10.77	areal	-817	-2768	-259
16:53:01.691 -> euler	24.66	9.82	-10.56	areal	-805	-2744	-274
16:53:01.691 -> euler	24.61	9.63	-10.38	areal	-791	-2719	-288
16:53:01.691 -> euler	24.56	9.43	-10.19	areal	-784	-2683	-301
16:53:01.735 -> euler	24.48	9.23	-10.01	areal	-785	-2642	-316
16:53:01.735 -> euler	24.39	9.02	-9.84	areal	-791	-2593	-332
16:53:01.735 -> euler	24.29	8.82	-9.67	areal	-806	-2545	-346
16:53:01.735 -> euler	24.20	8.60	-9.50	areal	-827	-2497	-363
16:53:01.771 -> euler	24.13	8.39	-9.33	areal	-849	-2456	-385
16:53:01.771 -> euler	24.07	8.17	-9.16	areal	-869	-2428	-408
16:53:01.771 -> euler	24.01	7.96	-8.98	areal	-889	-2404	-435
16:53:01.771 -> euler	23.94	7.75	-8.81	areal	-908	-2387	-460
16:53:01.805 -> euler	23.86	7.54	-8.64	areal	-925	-2370	-482
16:53:01.805 -> euler	23.75	7.35	-8.47	areal	-945	-2356	-502
16:53:01.805 -> euler	23.61	7.16	-8.30	areal	-967	-2342	-522
16:53:01.839 -> euler	23.45	6.98	-8.13	areal	-987	-2321	-537
16:53:01.839 -> euler	23.27	6.82	-7.96	areal	-1010	-2299	-549
16:53:01.839 -> euler	23.09	6.67	-7.79	areal	-1036	-2272	-559
16:53:01.876 -> euler	22.90	6.52	-7.62	areal	-1059	-2239	-565
16:53:01.876 -> euler	22.68	6.39	-7.46	areal	-1077	-2206	-570
16:53:01.876 -> euler	22.45	6.28	-7.28	areal	-1091	-2171	-578
16:53:01.876 -> euler	22.20	6.18	-7.11	areal	-1099	-2136	-583
16:53:01.921 -> euler	21.95	6.09	-6.93	areal	-1099	-2100	-586
16:53:01.921 -> euler	21.71	6.01	-6.75	areal	-1095	-2063	-589
16:53:01.921 -> euler	21.50	5.94	-6.56	areal	-1092	-2030	-592
16:53:01.921 -> euler	21.31	5.87	-6.38	areal	-1085	-2002	-592
16:53:01.921 -> euler	21.12	5.81	-6.18	areal	-1077	-1982	-587
16:53:01.971 -> euler	20.96	5.76	-5.99	areal	-1062	-1969	-584
16:53:01.971 -> euler	20.79	5.71	-5.80	areal	-1040	-1964	-582
16:53:01.971 -> euler	20.63	5.67	-5.60	areal	-1010	-1965	-580
16:53:01.971 -> euler	20.49	5.62	-5.42	areal	-975	-1963	-580
16:53:01.971 -> euler	20.37	5.58	-5.25	areal	-939	-1959	-580
16:53:02.006 -> euler	20.29	5.53	-5.08	areal	-899	-1948	-577
16:53:02.006 -> euler	20.27	5.48	-4.93	areal	-862	-1931	-574
16:53:02.006 -> euler	20.32	5.43	-4.79	areal	-831	-1905	-566
16:53:02.053 -> euler	20.44	5.36	-4.66	areal	-799	-1868	-560
16:53:02.053 -> euler	20.61	5.28	-4.55	areal	-778	-1826	-556
16:53:02.053 -> euler	20.79	5.20	-4.45	areal	-768	-1780	-560
16:53:02.053 -> euler	21.02	5.11	-4.35	areal	-764	-1734	-565
16:53:02.053 -> euler	21.26	5.00	-4.27	areal	-765	-1699	-570
16:53:02.103 -> euler	21.53	4.90	-4.18	areal	-771	-1672	-578
16:53:02.103 -> euler	21.78	4.78	-4.11	areal	-783	-1654	-593
16:53:02.103 -> euler	22.01	4.67	-4.03	areal	-795	-1642	-609
16:53:02.103 -> euler	22.20	4.57	-3.97	areal	-807	-1635	-623
16:53:02.103 -> euler	22.38	4.46	-3.91	areal	-818	-1628	-636
16:53:02.139 -> euler	22.55	4.36	-3.86	areal	-827	-1615	-652
16:53:02.139 -> euler	22.71	4.26	-3.83	areal	-832	-1597	-666
16:53:02.139 -> euler	22.84	4.17	-3.79	areal	-838	-1578	-681
16:53:02.187 -> euler	22.94	4.09	-3.76	areal	-847	-1554	-693
16:53:02.187 -> euler	23.02	4.02	-3.73	areal	-852	-1527	-703
16:53:02.187 -> euler	23.05	3.95	-3.71	areal	-854	-1507	-713
16:53:02.187 -> euler	23.08	3.89	-3.69	areal	-854	-1490	-721
16:53:02.187 -> euler	23.10	3.83	-3.66	areal	-845	-1479	-734
16:53:02.222 -> euler	23.09	3.78	-3.64	areal	-830	-1474	-745
16:53:02.222 -> euler	23.07	3.74	-3.62	areal	-814	-1472	-758
16:53:02.222 -> euler	23.04	3.70	-3.60	areal	-794	-1469	-768
16:53:02.222 -> euler	22.97	3.66	-3.58	areal	-771	-1464	-778
16:53:02.259 -> euler	22.89	3.63	-3.56	areal	-752	-1460	-790
16:53:02.259 -> euler	22.82	3.59	-3.55	areal	-737	-1459	-800
16:53:02.259 -> euler	22.79	3.55	-3.54	areal	-724	-1461	-809
16:53:02.302 -> euler	22.80	3.52	-3.53	areal	-712	-1468	-815
16:53:02.302 -> euler	22.84	3.48	-3.53	areal	-697	-1479	-819
16:53:02.302 -> euler	22.90	3.43	-3.52	areal	-681	-1492	-825
16:53:02.302 -> euler	22.98	3.40	-3.53	areal	-666	-1510	-824
16:53:02.302 -> euler	23.07	3.36	-3.54	areal	-647	-1527	-821
16:53:02.351 -> euler	23.14	3.32	-3.54	areal	-624	-1543	-819
16:53:02.351 -> euler	23.18	3.29	-3.56	areal	-602	-1558	-815
16:53:02.351 -> euler	23.19	3.26	-3.58	areal	-580	-1566	-812
16:53:02.351 -> euler	23.21	3.23	-3.61	areal	-559	-1575	-797
16:53:02.351 -> euler	23.28	3.20	-3.64	areal	-537	-1593	-772
16:53:02.393 -> euler	23.41	3.17	-3.67	areal	-512	-1623	-743
16:53:02.393 -> euler	23.60	3.13	-3.71	areal	-483	-1667	-716
16:53:02.393 -> euler	23.78	3.09	-3.76	areal	-450	-1707	-699
16:53:02.393 -> euler	23.91	3.07	-3.82	areal	-419	-1734	-690
16:53:02.438 -> euler	23.97	3.04	-3.89	areal	-405	-1738	-681
16:53:02.438 -> euler	23.96	3.02	-3.97	areal	-410	-1724	-666
16:53:02.438 -> euler	23.92	2.99	-4.07	areal	-425	-1688	-644
16:53:02.438 -> euler	23.88	2.98	-4.16	areal	-449	-1647	-614
16:53:02.480 -> euler	23.89	2.96	-4.24	areal	-475	-1611	-580
16:53:02.480 -> euler	23.96	2.94	-4.31	areal	-493	-1588	-542
16:53:02.480 -> euler	24.07	2.92	-4.38	areal	-504	-1585	-514
16:53:02.480 -> euler	24.18	2.91	-4.44	areal	-510	-1604	-495
16:53:02.480 -> euler	24.25	2.91	-4.48	areal	-506	-1638	-479
16:53:02.520 -> euler	24.24	2.91	-4.52	areal	-499	-1678	-471
16:53:02.520 -> euler	24.15	2.92	-4.56	areal	-493	-1710	-464
16:53:02.520 -> euler	23.99	2.95	-4.61	areal	-483	-1730	-461
16:53:02.570 -> euler	23.77	2.98	-4.66	areal	-479	-1734	-461
16:53:02.570 -> euler	23.51	3.02	-4.71	areal	-472	-1721	-460
16:53:02.570 -> euler	23.23	3.06	-4.77	areal	-459	-1703	-458
16:53:02.570 -> euler	22.96	3.10	-4.82	areal	-446	-1682	-449
16:53:02.570 -> euler	22.71	3.13	-4.87	areal	-430	-1667	-438
16:53:02.609 -> euler	22.51	3.16	-4.91	areal	-417	-1664	-428
16:53:02.609 -> euler	22.36	3.18	-4.95	areal	-408	-1674	-420
16:53:02.609 -> euler	22.24	3.20	-4.99	areal	-405	-1691	-415
16:53:02.609 -> euler	22.14	3.20	-5.02	areal	-410	-1713	-407
16:53:02.653 -> euler	22.06	3.20	-5.06	areal	-422	-1736	-400
16:53:02.653 -> euler	21.99	3.20	-5.10	areal	-438	-1762	-389
16:53:02.653 -> euler	21.95	3.20	-5.13	areal	-455	-1787	-374
16:53:02.653 -> euler	21.93	3.20	-5.17	areal	-473	-1807	-355
16:53:02.653 -> euler	21.93	3.19	-5.21	areal	-497	-1822	-333
16:53:02.703 -> euler	21.95	3.19	-5.24	areal	-527	-1836	-309
16:53:02.703 -> euler	22.00	3.18	-5.28	areal	-558	-1849	-285
16:53:02.703 -> euler	22.06	3.18	-5.31	areal	-590	-1869	-263
16:53:02.703 -> euler	22.12	3.19	-5.34	areal	-621	-1894	-245
16:53:02.703 -> euler	22.17	3.21	-5.36	areal	-646	-1921	-232
16:53:02.742 -> euler	22.18	3.25	-5.38	areal	-669	-1949	-223
16:53:02.742 -> euler	22.14	3.28	-5.41	areal	-688	-1972	-219
16:53:02.742 -> euler	22.07	3.34	-5.43	areal	-711	-1988	-213
16:53:02.742 -> euler	21.96	3.40	-5.47	areal	-738	-1994	-207
16:53:02.775 -> euler	21.82	3.48	-5.49	areal	-770	-1994	-200
16:53:02.775 -> euler	21.66	3.57	-5.52	areal	-804	-1991	-195
16:53:02.775 -> euler	21.49	3.66	-5.54	areal	-839	-1989	-191
16:53:02.820 -> euler	21.31	3.76	-5.56	areal	-865	-1992	-190
16:53:02.820 -> euler	21.12	3.88	-5.57	areal	-886	-1992	-191
16:53:02.820 -> euler	20.89	4.01	-5.58	areal	-902	-1993	-193
16:53:02.820 -> euler	20.65	4.14	-5.59	areal	-915	-1996	-199
16:53:02.866 -> euler	20.39	4.28	-5.59	areal	-921	-2001	-206
16:53:02.866 -> euler	20.14	4.43	-5.59	areal	-927	-2005	-218
16:53:02.866 -> euler	19.88	4.57	-5.59	areal	-933	-2009	-233
16:53:02.866 -> euler	19.62	4.72	-5.59	areal	-946	-2018	-257
16:53:02.866 -> euler	19.38	4.87	-5.59	areal	-964	-2030	-277
16:53:02.903 -> euler	19.17	5.02	-5.57	areal	-993	-2043	-303
16:53:02.903 -> euler	18.98	5.16	-5.57	areal	-1039	-2050	-329
16:53:02.903 -> euler	18.75	5.31	-5.56	areal	-1092	-2045	-352
16:53:02.903 -> euler	18.46	5.47	-5.56	areal	-1129	-2037	-369
16:53:02.939 -> euler	18.08	5.63	-5.54	areal	-1153	-2024	-380
16:53:02.939 -> euler	17.63	5.81	-5.53	areal	-1169	-2007	-391
16:53:02.939 -> euler	17.20	5.98	-5.51	areal	-1172	-1991	-406
16:53:02.982 -> euler	16.83	6.14	-5.49	areal	-1156	-1987	-417
16:53:02.982 -> euler	16.56	6.30	-5.46	areal	-1129	-1991	-427
16:53:02.982 -> euler	16.38	6.45	-5.42	areal	-1102	-2006	-438
16:53:02.982 -> euler	16.29	6.58	-5.38	areal	-1083	-2022	-450
16:53:02.982 -> euler	16.24	6.69	-5.35	areal	-1079	-2036	-458
16:53:03.018 -> euler	16.21	6.79	-5.32	areal	-1086	-2050	-465
16:53:03.018 -> euler	16.17	6.87	-5.29	areal	-1102	-2067	-471
16:53:03.018 -> euler	16.08	6.95	-5.27	areal	-1121	-2085	-472
16:53:03.060 -> euler	15.94	7.02	-5.25	areal	-1145	-2100	-472
16:53:03.060 -> euler	15.80	7.07	-5.23	areal	-1174	-2115	-469
16:53:03.060 -> euler	15.69	7.12	-5.21	areal	-1207	-2128	-456
16:53:03.060 -> euler	15.63	7.16	-5.19	areal	-1225	-2129	-436
16:53:03.097 -> euler	15.64	7.20	-5.19	areal	-1246	-2118	-414
16:53:03.097 -> euler	15.71	7.23	-5.17	areal	-1261	-2110	-397
16:53:03.097 -> euler	15.78	7.26	-5.16	areal	-1299	-2109	-378
16:53:03.097 -> euler	15.85	7.28	-5.14	areal	-1320	-2103	-365
16:53:03.134 -> euler	15.89	7.31	-5.12	areal	-1338	-2100	-350
16:53:03.134 -> euler	15.93	7.33	-5.10	areal	-1365	-2104	-338
16:53:03.134 -> euler	15.95	7.36	-5.06	areal	-1400	-2121	-334
16:53:03.134 -> euler	15.92	7.39	-5.03	areal	-1442	-2148	-335
16:53:03.171 -> euler	15.82	7.43	-4.98	areal	-1494	-2177	-334
16:53:03.171 -> euler	15.63	7.49	-4.93	areal	-1569	-2201	-329
16:53:03.171 -> euler	15.33	7.55	-4.88	areal	-1654	-2218	-317
16:53:03.171 -> euler	14.95	7.63	-4.83	areal	-1744	-2228	-301
16:53:03.207 -> euler	14.48	7.73	-4.78	areal	-1831	-2233	-282
16:53:03.207 -> euler	13.93	7.86	-4.72	areal	-1913	-2239	-269
16:53:03.207 -> euler	13.29	8.00	-4.65	areal	-1984	-2247	-258
16:53:03.250 -> euler	12.57	8.17	-4.57	areal	-2051	-2256	-254
16:53:03.250 -> euler	11.76	8.36	-4.50	areal	-2116	-2265	-254
16:53:03.250 -> euler	10.87	8.57	-4.43	areal	-2169	-2271	-256
16:53:03.250 -> euler	9.89	8.80	-4.35	areal	-2220	-2268	-259
16:53:03.290 -> euler	8.83	9.04	-4.27	areal	-2276	-2259	-258
16:53:03.290 -> euler	7.68	9.30	-4.20	areal	-2335	-2245	-259
16:53:03.290 -> euler	6.44	9.56	-4.13	areal	-2396	-2217	-258
16:53:03.290 -> euler	5.10	9.84	-4.06	areal	-2465	-2187	-259
16:53:03.290 -> euler	3.69	10.13	-3.99	areal	-2536	-2151	-258
16:53:03.337 -> euler	2.22	10.42	-3.93	areal	-2594	-2097	-259
16:53:03.337 -> euler	0.73	10.73	-3.87	areal	-2624	-2017	-266
16:53:03.337 -> euler	-0.70	11.05	-3.81	areal	-2564	-1901	-282
16:53:03.337 -> euler	-1.93	11.37	-3.74	areal	-2472	-1767	-309
16:53:03.380 -> euler	-2.88	11.67	-3.65	areal	-2397	-1666	-331
16:53:03.380 -> euler	-3.63	11.93	-3.53	areal	-2357	-1617	-336
16:53:03.380 -> euler	-4.32	12.15	-3.39	areal	-2420	-1606	-329
16:53:03.380 -> euler	-5.10	12.35	-3.23	areal	-2584	-1611	-319
16:53:03.416 -> euler	-6.03	12.53	-3.06	areal	-2777	-1626	-307
16:53:03.416 -> euler	-7.10	12.72	-2.89	areal	-2959	-1635	-290
16:53:03.416 -> euler	-8.21	12.91	-2.71	areal	-3108	-1642	-269
16:53:03.416 -> euler	-9.29	13.13	-2.53	areal	-3225	-1646	-244
16:53:03.453 -> euler	-10.32	13.35	-2.36	areal	-3327	-1652	-221
16:53:03.453 -> euler	-11.31	13.56	-2.20	areal	-3411	-1624	-206
16:53:03.453 -> euler	-12.23	13.79	-2.06	areal	-3452	-1525	-201
16:53:03.453 -> euler	-13.01	14.00	-1.92	areal	-3480	-1420	-194
16:53:03.491 -> euler	-13.62	14.22	-1.76	areal	-3469	-1338	-205
16:53:03.491 -> euler	-14.07	14.43	-1.60	areal	-3481	-1272	-231
16:53:03.491 -> euler	-14.41	14.62	-1.42	areal	-3495	-1220	-264
16:53:03.491 -> euler	-14.68	14.81	-1.24	areal	-3470	-1165	-299
16:53:03.532 -> euler	-14.87	14.99	-1.05	areal	-3447	-1120	-331
16:53:03.532 -> euler	-14.96	15.15	-0.85	areal	-3434	-1084	-356
16:53:03.532 -> euler	-14.95	15.28	-0.64	areal	-3444	-1055	-375
16:53:03.532 -> euler	-14.86	15.39	-0.43	areal	-3467	-1024	-389
16:53:03.569 -> euler	-14.74	15.48	-0.21	areal	-3490	-992	-400
16:53:03.569 -> euler	-14.59	15.55	0.02	areal	-3513	-964	-418
16:53:03.569 -> euler	-14.40	15.61	0.25	areal	-3536	-941	-440
16:53:03.612 -> euler	-14.21	15.66	0.48	areal	-3553	-920	-457
16:53:03.612 -> euler	-14.00	15.69	0.71	areal	-3566	-901	-464
16:53:03.612 -> euler	-13.77	15.71	0.94	areal	-3572	-880	-466
16:53:03.612 -> euler	-13.51	15.72	1.17	areal	-3569	-865	-470
16:53:03.612 -> euler	-13.20	15.71	1.40	areal	-3557	-865	-471
16:53:03.659 -> euler	-12.88	15.70	1.63	areal	-3544	-879	-473
16:53:03.659 -> euler	-12.57	15.68	1.85	areal	-3532	-891	-474
16:53:03.659 -> euler	-12.29	15.63	2.06	areal	-3524	-897	-477
16:53:03.659 -> euler	-12.05	15.59	2.27	areal	-3520	-893	-472
16:53:03.695 -> euler	-11.85	15.53	2.47	areal	-3514	-878	-468
16:53:03.695 -> euler	-11.68	15.47	2.66	areal	-3510	-857	-461
16:53:03.695 -> euler	-11.56	15.39	2.84	areal	-3507	-838	-451
16:53:03.695 -> euler	-11.47	15.32	3.02	areal	-3500	-814	-444
16:53:03.737 -> euler	-11.43	15.24	3.20	areal	-3492	-786	-441
16:53:03.737 -> euler	-11.43	15.16	3.37	areal	-3486	-751	-442
16:53:03.737 -> euler	-11.46	15.07	3.54	areal	-3476	-716	-446
16:53:03.737 -> euler	-11.53	14.99	3.71	areal	-3463	-671	-449
16:53:03.785 -> euler	-11.63	14.90	3.88	areal	-3455	-623	-451
16:53:03.785 -> euler	-11.77	14.82	4.06	areal	-3446	-571	-449
16:53:03.785 -> euler	-11.93	14.72	4.25	areal	-3432	-521	-449
16:53:03.785 -> euler	-12.12	14.64	4.44	areal	-3418	-472	-452
16:53:03.785 -> euler	-12.34	14.55	4.64	areal	-3404	-426	-452
16:53:03.818 -> euler	-12.55	14.46	4.84	areal	-3388	-382	-452
16:53:03.818 -> euler	-12.74	14.37	5.07	areal	-3363	-340	-452
16:53:03.818 -> euler	-12.90	14.28	5.29	areal	-3335	-298	-453
16:53:03.855 -> euler	-13.04	14.19	5.53	areal	-3306	-256	-451
16:53:03.855 -> euler	-13.12	14.09	5.77	areal	-3273	-220	-449
16:53:03.855 -> euler	-13.20	13.99	6.02	areal	-3239	-195	-453
16:53:03.855 -> euler	-13.28	13.90	6.27	areal	-3210	-177	-461
16:53:03.890 -> euler	-13.35	13.79	6.52	areal	-3178	-160	-474
16:53:03.890 -> euler	-13.42	13.68	6.77	areal	-3154	-139	-490
16:53:03.890 -> euler	-13.49	13.56	7.02	areal	-3130	-111	-511
16:53:03.935 -> euler	-13.53	13.43	7.27	areal	-3109	-77	-532
16:53:03.935 -> euler	-13.54	13.30	7.50	areal	-3090	-40	-552
16:53:03.935 -> euler	-13.55	13.16	7.74	areal	-3073	0	-572
16:53:03.935 -> euler	-13.52	13.02	7.96	areal	-3056	34	-594
16:53:03.935 -> euler	-13.47	12.86	8.19	areal	-3035	63	-615
16:53:03.970 -> euler	-13.38	12.71	8.41	areal	-3012	88	-640
16:53:03.970 -> euler	-13.27	12.55	8.62	areal	-2989	109	-669
16:53:03.970 -> euler	-13.13	12.38	8.82	areal	-2964	124	-696
16:53:03.970 -> euler	-13.00	12.20	9.03	areal	-2932	141	-723
16:53:04.004 -> euler	-12.86	12.01	9.22	areal	-2897	155	-749
16:53:04.004 -> euler	-12.74	11.81	9.40	areal	-2856	171	-769
16:53:04.004 -> euler	-12.65	11.60	9.57	areal	-2819	186	-786
16:53:04.048 -> euler	-12.58	11.38	9.73	areal	-2778	199	-795
16:53:04.048 -> euler	-12.56	11.16	9.88	areal	-2736	213	-802
16:53:04.048 -> euler	-12.56	10.92	10.03	areal	-2705	231	-807
16:53:04.048 -> euler	-12.56	10.67	10.16	areal	-2673	255	-813
16:53:04.084 -> euler	-12.55	10.41	10.29	areal	-2646	278	-812
16:53:04.084 -> euler	-12.52	10.14	10.41	areal	-2615	304	-809
16:53:04.084 -> euler	-12.51	9.87	10.53	areal	-2580	331	-807
16:53:04.084 -> euler	-12.50	9.59	10.64	areal	-2536	356	-804
16:53:04.124 -> euler	-12.53	9.31	10.75	areal	-2485	379	-804
16:53:04.124 -> euler	-12.62	9.03	10.85	areal	-2431	393	-803
16:53:04.124 -> euler	-12.77	8.74	10.96	areal	-2375	405	-801
16:53:04.124 -> euler	-12.97	8.44	11.06	areal	-2316	418	-804
16:53:04.163 -> euler	-13.20	8.14	11.16	areal	-2251	432	-807
16:53:04.163 -> euler	-13.44	7.84	11.26	areal	-2181	442	-813
16:53:04.163 -> euler	-13.68	7.53	11.36	areal	-2103	454	-817
16:53:04.163 -> euler	-13.89	7.22	11.46	areal	-2021	467	-824
16:53:04.206 -> euler	-14.07	6.89	11.57	areal	-1934	473	-831
16:53:04.206 -> euler	-14.22	6.56	11.69	areal	-1846	471	-835
16:53:04.206 -> euler	-14.34	6.21	11.80	areal	-1764	460	-836
16:53:04.206 -> euler	-14.46	5.86	11.93	areal	-1685	441	-833
16:53:04.251 -> euler	-14.59	5.49	12.05	areal	-1607	414	-828
16:53:04.251 -> euler	-14.75	5.11	12.18	areal	-1531	387	-821
16:53:04.251 -> euler	-14.96	4.73	12.30	areal	-1463	367	-816
16:53:04.251 -> euler	-15.22	4.33	12.44	areal	-1404	349	-814
16:53:04.251 -> euler	-15.54	3.92	12.57	areal	-1354	330	-810
16:53:04.295 -> euler	-15.89	3.50	12.70	areal	-1313	311	-803
16:53:04.295 -> euler	-16.25	3.08	12.83	areal	-1276	286	-794
16:53:04.295 -> euler	-16.62	2.66	12.98	areal	-1234	250	-776
16:53:04.295 -> euler	-16.98	2.23	13.14	areal	-1179	206	-754
16:53:04.335 -> euler	-17.37	1.80	13.29	areal	-1102	162	-733
16:53:04.335 -> euler	-17.77	1.37	13.45	areal	-1006	126	-713
16:53:04.335 -> euler	-18.19	0.93	13.62	areal	-899	96	-699
16:53:04.335 -> euler	-18.60	0.47	13.79	areal	-790	86	-698
16:53:04.381 -> euler	-19.00	0.01	13.98	areal	-686	102	-702
16:53:04.381 -> euler	-19.35	-0.48	14.18	areal	-583	141	-705
16:53:04.381 -> euler	-19.63	-0.97	14.40	areal	-487	197	-712
16:53:04.381 -> euler	-19.86	-1.49	14.66	areal	-384	263	-712
16:53:04.381 -> euler	-20.07	-2.00	14.94	areal	-291	332	-705
16:53:04.423 -> euler	-20.26	-2.53	15.25	areal	-198	402	-684
16:53:04.423 -> euler	-20.46	-3.07	15.59	areal	-108	460	-651
16:53:04.423 -> euler	-20.69	-3.61	15.98	areal	-9	506	-622
16:53:04.423 -> euler	-20.96	-4.16	16.39	areal	93	526	-600
16:53:04.468 -> euler	-21.23	-4.71	16.85	areal	205	530	-582
16:53:04.468 -> euler	-21.49	-5.28	17.33	areal	310	530	-570
16:53:04.468 -> euler	-21.73	-5.86	17.83	areal	401	524	-568
16:53:04.468 -> euler	-21.94	-6.44	18.35	areal	470	516	-580
16:53:04.507 -> euler	-22.14	-7.05	18.90	areal	520	504	-599
16:53:04.507 -> euler	-22.30	-7.66	19.45	areal	555	491	-622
16:53:04.507 -> euler	-22.46	-8.27	20.01	areal	588	482	-640
16:53:04.507 -> euler	-22.64	-8.89	20.55	areal	641	484	-647
16:53:04.547 -> euler	-22.90	-9.50	21.08	areal	730	516	-648
16:53:04.547 -> euler	-23.25	-10.10	21.61	areal	848	562	-637
16:53:04.547 -> euler	-23.67	-10.70	22.12	areal	967	597	-611
16:53:04.547 -> euler	-24.13	-11.31	22.63	areal	1096	639	-582
16:53:04.587 -> euler	-24.53	-11.91	23.14	areal	1218	678	-554
