	30.26	-57.30	areal	-2120	-7464	3810
16:52:58.344 -> euler	-0.58	30.29	-76.39	areal	-1240	-8276	6038
16:52:58.344 -> euler	-0.60	30.42	-76.61	areal	-1187	-8313	6076
16:52:58.344 -> euler	-0.56	30.56	-76.80	areal	-1127	-8359	6114
16:52:58.385 -> euler	-0.52	30.69	-77.00	areal	-1065	-8406	6151
16:52:58.385 -> euler	-0.47	30.81	-77.20	areal	-1009	-8452	6187
16:52:58.385 -> euler	-0.42	30.93	-77.40	areal	-959	-8488	6226
16:52:58.385 -> euler	-0.39	31.04	-77.60	areal	-920	-8512	6266
16:52:58.429 -> euler	-0.39	31.14	-77.81	areal	-895	-8523	6308
16:52:58.429 -> euler	-0.42	31.23	-78.02	areal	-882	-8526	6349
16:52:58.429 -> euler	-0.50	31.33	-78.24	areal	-882	-8524	6389
16:52:58.429 -> euler	-0.63	31.42	-78.46	areal	-895	-8515	6430
16:52:58.429 -> euler	-0.79	31.51	-78.69	areal	-915	-8500	6469
16:52:58.482 -> euler	-0.99	31.60	-78.92	areal	-945	-8475	6507
16:52:58.482 -> euler	-1.21	31.69	-79.14	areal	-983	-8441	6545
16:52:58.482 -> euler	-1.43	31.78	-79.36	areal	-1020	-8408	6583
16:52:58.482 -> euler	-1.63	31.89	-79.59	areal	-1050	-8382	6623
16:52:58.482 -> euler	-1.82	32.00	-79.80	areal	-1076	-8359	6665
16:52:58.482 -> euler	-2.01	32.11	-80.00	areal	-1102	-8334	6705
16:52:58.526 -> euler	-2.20	32.23	-80.19	areal	-1139	-8304	6740
16:52:58.526 -> euler	-2.38	32.36	-80.38	areal	-1180	-8273	6773
16:52:58.526 -> euler	-2.53	32.50	-80.55	areal	-1219	-8242	6801
16:52:58.526 -> euler	-2.64	32.65	-80.70	areal	-1248	-8214	6828
16:52:58.563 -> euler	-2.70	32.81	-80.84	areal	-1262	-8192	6852
16:52:58.563 -> euler	-2.74	32.98	-80.97	areal	-1260	-8180	6876
16:52:58.563 -> euler	-2.76	33.15	-81.07	areal	-1245	-8176	6898
16:52:58.563 -> euler	-2.79	33.33	-81.16	areal	-1225	-8183	6919
16:52:58.607 -> euler	-2.81	33.51	-81.23	areal	-1199	-8194	6940
16:52:58.607 -> euler	-2.86	33.68	-81.30	areal	-1177	-8209	6958
16:52:58.607 -> euler	-2.91	33.87	-81.34	areal	-1155	-8222	6972
16:52:58.607 -> euler	-2.97	34.05	-81.37	areal	-1130	-8229	6983
16:52:58.648 -> euler	-3.03	34.22	-81.38	areal	-1106	-8225	6990
16:52:58.648 -> euler	-3.10	34.39	-81.38	areal	-1095	-8212	6990
16:52:58.648 -> euler	-3.15	34.55	-81.35	areal	-1097	-8196	6986
16:52:58.648 -> euler	-3.19	34.71	-81.30	areal	-1115	-8181	6979
16:52:58.688 -> euler	-3.21	34.87	-81.20	areal	-1141	-8175	6966
16:52:58.688 -> euler	-3.22	35.03	-81.09	areal	-1174	-8175	6954
16:52:58.688 -> euler	-3.20	35.19	-80.95	areal	-1211	-8177	6935
16:52:58.688 -> euler	-3.15	35.35	-80.79	areal	-1250	-8178	6912
16:52:58.725 -> euler	-3.08	35.51	-80.60	areal	-1286	-8179	6887
16:52:58.725 -> euler	-2.97	35.68	-80.38	areal	-1317	-8177	6854
16:52:58.725 -> euler	-2.83	35.85	-80.14	areal	-1340	-8173	6817
16:52:58.725 -> euler	-2.67	36.02	-79.88	areal	-1353	-8164	6781
16:52:58.767 -> euler	-2.48	36.19	-79.58	areal	-1357	-8159	6739
16:52:58.767 -> euler	-2.27	36.36	-79.27	areal	-1352	-8160	6695
16:52:58.767 -> euler	-2.03	36.51	-78.95	areal	-1337	-8164	6648
16:52:58.767 -> euler	-1.77	36.68	-78.59	areal	-1316	-8165	6599
16:52:58.807 -> euler	-1.49	36.83	-78.22	areal	-1297	-8164	6549
16:52:58.807 -> euler	-1.21	36.98	-77.83	areal	-1279	-8167	6498
16:52:58.807 -> euler	-0.95	37.12	-77.43	areal	-1264	-8170	6448
16:52:58.807 -> euler	-0.69	37.24	-77.02	areal	-1250	-8176	6399
16:52:58.846 -> euler	-0.45	37.36	-76.59	areal	-1242	-8186	6344
16:52:58.846 -> euler	-0.23	37.47	-76.16	areal	-1234	-8196	6290
16:52:58.846 -> euler	-0.03	37.56	-75.73	areal	-1230	-8202	6234
16:52:58.846 -> euler	0.14	37.64	-75.29	areal	-1230	-8207	6176
16:52:58.889 -> euler	0.28	37.71	-74.85	areal	-1237	-8211	6118
16:52:58.889 -> euler	0.41	37.76	-74.42	areal	-1254	-8209	6061
16:52:58.889 -> euler	0.53	37.81	-73.97	areal	-1280	-8204	6006
16:52:58.889 -> euler	0.65	37.83	-73.52	areal	-1304	-8201	5956
16:52:58.926 -> euler	0.77	37.85	-73.07	areal	-1327	-8199	5910
16:52:58.926 -> euler	0.92	37.86	-72.61	areal	-1351	-8196	5866
16:52:58.926 -> euler	1.08	37.84	-72.14	areal	-1378	-8189	5819
16:52:58.926 -> euler	1.23	37.83	-71.67	areal	-1407	-8183	5770
16:52:58.968 -> euler	1.38	37.80	-71.19	areal	-1441	-8173	5720
16:52:58.968 -> euler	1.52	37.76	-70.72	areal	-1479	-8161	5666
16:52:58.968 -> euler	1.65	37.71	-70.24	areal	-1521	-8147	5610
16:52:58.968 -> euler	1.76	37.65	-69.76	areal	-1572	-8132	5553
16:52:59.007 -> euler	1.85	37.59	-69.28	areal	-1628	-8117	5495
16:52:59.007 -> euler	1.94	37.52	-68.80	areal	-1683	-8100	5436
16:52:59.007 -> euler	2.02	37.45	-68.31	areal	-1743	-8083	5375
16:52:59.007 -> euler	2.11	37.39	-67.82	areal	-1802	-8058	5319
16:52:59.046 -> euler	2.22	37.31	-67.33	areal	-1869	-8033	5261
16:52:59.046 -> euler	2.35	37.24	-66.83	areal	-1927	-8011	5199
16:52:59.046 -> euler	2.50	37.17	-66.33	areal	-1976	-7991	5140
16:52:59.046 -> euler	2.66	37.11	-65.81	areal	-2019	-7979	5079
16:52:59.088 -> euler	2.82	37.05	-65.31	areal	-2045	-7974	5020
