	0.03	-0.00	areal	0	0	-4
16:15:09.233 -> euler	8.84	0.03	-0.02	areal	15	-1	-1
16:15:09.276 -> euler	8.84	0.03	-0.02	areal	0	-5	0
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-13	-7	0
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-10	-10	1
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-3	-7	-1
16:15:09.314 -> euler	8.85	0.02	-0.02	areal	2	-2	0
16:15:09.314 -> euler	8.84	0.02	-0.02	areal	0	-1	0
16:15:09.314 -> euler	8.84	0.02	-0.02	areal	0	-2	0
16:15:09.314 -> euler	8.83	0.02	-0.02	areal	0	-5	-2
16:15:09.354 -> euler	8.83	0.02	-0.02	areal	-1	-5	-3
16:15:09.354 -> euler	8.83	0.02	-0.02	areal	-1	-5	-3
16:15:09.354 -> euler	8.84	0.02	-0.02	areal	-1	-4	-3
16:15:09.354 -> euler	8.84	0.02	-0.02	areal	0	-2	-4
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	2	-4	-6
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	0	-4	-4
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	0	-3	-3
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	1	-4	-1
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	1	0	-2
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	2	0	-1
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	3	0	-2
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	0	0	-2
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-1	0	-2
16:15:09.473 -> euler	8.83	0.02	-0.01	areal	-2	1	-1
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-3	4	0
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-5	6	0
16:15:09.521 -> euler	8.84	0.02	-0.01	areal	-6	4	0
16:15:09.521 -> euler	8.84	0.02	-0.01	areal	-3	2	0
16:15:09.521 -> euler	8.85	0.03	-0.00	areal	0	0	0
16:15:09.521 -> euler	8.86	0.03	-0.00	areal	3	-2	-1
16:15:09.521 -> euler	8.86	0.03	-0.00	areal	4	-5	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	5	-3	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	5	0	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	2	0	-2
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	-1	1	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	0	-1	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	5	-9	-2
16:15:09.606 -> euler	8.86	0.03	0.00	areal	6	-10	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	4	-4	-2
16:15:09.641 -> euler	8.87	0.03	0.01	areal	4	-4	-5
16:15:09.641 -> euler	8.87	0.03	0.01	areal	5	-9	-4
16:15:09.641 -> euler	8.87	0.03	0.01	areal	1	-12	-3
16:15:09.641 -> euler	8.88	0.03	0.00	areal	-4	-13	-4
16:15:09.683 -> euler	8.89	0.03	0.00	areal	-9	-13	-3
16:15:09.683 -> euler	8.90	0.03	-0.00	areal	-9	-8	-2
16:15:09.683 -> euler	8.91	0.03	-0.00	areal	-2	3	-2
16:15:09.683 -> euler	8.91	0.03	-0.01	areal	0	11	-3
16:15:09.723 -> euler	8.91	0.03	-0.01	areal	0	14	-1
16:15:09.723 -> euler	8.91	0.03	-0.02	areal	0	10	-3
16:15:09.723 -> euler	8.91	0.03	-0.01	areal	-1	7	-5
16:15:09.723 -> euler	8.91	0.03	-0.01	areal	-4	4	-4
16:15:09.763 -> euler	8.92	0.03	-0.01	areal	-4	2	-4
16:15:09.763 -> euler	8.92	0.03	-0.02	areal	-3	-1	-3
16:15:09.763 -> euler	8.93	0.03	-0.02	areal	-5	-3	-3
16:15:09.763 -> euler	8.93	0.03	-0.02	areal	-5	-5	-3
16:15:09.803 -> euler	8.94	0.03	-0.02	areal	-2	-4	-3
16:15:09.803 -> euler	8.95	0.03	-0.02	areal	2	3	-4
16:15:09.803 -> euler	8.95	0.03	-0.02	areal	4	11	-4
16:15:09.803 -> euler	8.95	0.03	-0.03	areal	3	6	-2
16:15:09.838 -> euler	8.95	0.03	-0.03	areal	2	0	-4
16:15:09.838 -> euler	8.95	0.03	-0.02	areal	6	2	-3
16:15:09.838 -> euler	8.95	0.03	-0.02	areal	5	1	-2
16:15:09.838 -> euler	8.96	0.03	-0.02	areal	-2	-2	-2
16:15:09.873 -> euler	8.97	0.03	-0.02	areal	-5	-3	-1
16:15:09.873 -> euler	8.98	0.03	-0.02	areal	0	-1	-1
16:15:09.873 -> euler	9.00	0.03	-0.02	areal	1	0	-3
16:15:09.911 -> euler	9.01	0.03	-0.02	areal	0	0	-1
16:15:09.911 -> euler	9.02	0.03	-0.02	areal	-2	1	-1
16:15:09.911 -> euler	9.03	0.03	-0.02	areal	0	3	-1
16:15:09.911 -> euler	9.05	0.03	-0.02	areal	1	4	-3
16:15:09.951 -> euler	9.06	0.03	-0.03	areal	2	5	0
16:15:09.951 -> euler	9.07	0.03	-0.03	areal	0	4	-2
16:15:09.951 -> euler	9.07	0.03	-0.03	areal	-2	4	-1
16:15:09.951 -> euler	9.08	0.03	-0.03	areal	-1	3	-1
16:15:09.991 -> euler	9.09	0.03	-0.03	areal	-1	0	-2
16:15:09.991 -> euler	9.10	0.03	-0.03	areal	-4	-5	-2
16:15:09.991 -> euler	9.13	0.03	-0.03	areal	-1	-10	-2
16:15:09.991 -> euler	9.17	0.03	-0.03	areal	-1	-11	-4
16:15:10.027 -> euler	9.21	0.03	-0.03	areal	1	-5	-3
16:15:10.027 -> euler	9.26	0.04	-0.03	areal	7	3	-4
16:15:10.027 -> euler	9.31	0.04	-0.03	areal	9	18	-6
16:15:10.071 -> euler	9.34	0.04	-0.04	areal	8	30	-6
16:15:10.071 -> euler	9.36	0.03	-0.04	areal	8	29	-5
16:15:10.071 -> euler	9.37	0.04	-0.04	areal	6	24	-5
16:15:10.071 -> euler	9.35	0.04	-0.04	areal	8	24	-4
16:15:10.071 -> euler	9.32	0.04	-0.04	areal	8	22	-4
16:15:10.113 -> euler	9.29	0.04	-0.05	areal	8	18	-3
16:15:10.113 -> euler	9.26	0.04	-0.05	areal	5	15	-4
16:15:10.113 -> euler	9.24	0.04	-0.05	areal	0	15	-3
16:15:10.113 -> euler	9.22	0.04	-0.05	areal	-1	14	-1
16:15:10.152 -> euler	9.21	0.04	-0.05	areal	0	14	-2
16:15:10.152 -> euler	9.19	0.04	-0.05	areal	0	14	-4
16:15:10.152 -> euler	9.16	0.04	-0.05	areal	3	14	-5
16:15:10.152 -> euler	9.12	0.04	-0.05	areal	8	10	-5
16:15:10.193 -> euler	9.10	0.04	-0.05	areal	7	5	-5
16:15:10.193 -> euler	9.07	0.04	-0.05	areal	4	0	-2
16:15:10.193 -> euler	9.05	0.04	-0.05	areal	0	-4	-2
16:15:10.193 -> euler	9.04	0.04	-0.05	areal	-5	-8	-2
16:15:10.233 -> euler	9.04	0.03	-0.05	areal	-6	-7	-2
16:15:10.233 -> euler	9.05	0.03	-0.05	areal	-3	1	-2
16:15:10.233 -> euler	9.04	0.03	-0.05	areal	1	0	-3
16:15:10.233 -> euler	9.04	0.03	-0.04	areal	0	-2	0
16:15:10.274 -> euler	9.03	0.03	-0.04	areal	-3	-1	-1
16:15:10.274 -> euler	9.03	0.03	-0.04	areal	-2	-7	0
16:15:10.274 -> euler	9.03	0.03	-0.04	areal	-7	0	0
16:15:10.274 -> euler	9.03	0.03	-0.04	areal	7	-6	-2
16:15:10.311 -> euler	9.03	0.03	-0.03	areal	0	1	-1
16:15:10.311 -> euler	9.03	0.03	-0.03	areal	2	-1	-5
16:15:10.311 -> euler	9.03	0.03	-0.03	areal	4	-5	-4
16:15:10.311 -> euler	9.03	0.03	-0.03	areal	1	3	-3
16:15:10.354 -> euler	9.03	0.03	-0.03	areal	1	0	0
16:15:10.354 -> euler	9.03	0.03	-0.03	areal	0	-3	-1
16:15:10.354 -> euler	9.03	0.04	-0.03	areal	6	0	-1
16:15:10.354 -> euler	9.03	0.04	-0.03	areal	0	2	-1
16:15:10.394 -> euler	9.03	0.03	-0.03	areal	-2	-2	-1
16:15:10.394 -> euler	9.03	0.03	-0.03	areal	-7	-7	-1
16:15:10.394 -> euler	9.04	0.04	-0.03	areal	0	-3	-2
16:15:10.394 -> euler	9.04	0.04	-0.03	areal	5	11	-1
16:15:10.434 -> euler	9.04	0.04	-0.04	areal	0	1	-1
16:15:10.434 -> euler	9.04	0.04	-0.03	areal	-3	0	-1
16:15:10.434 -> euler	9.04	0.04	-0.04	areal	5	13	-1
16:15:10.434 -> euler	9.03	0.04	-0.04	areal	0	-1	0
16:15:10.472 -> euler	9.03	0.04	-0.03	areal	-6	-8	0
16:15:10.472 -> euler	9.04	0.04	-0.04	areal	0	8	-1
16:15:10.472 -> euler	9.03	0.04	-0.04	areal	13	17	-2
16:15:10.472 -> euler	9.03	0.04	-0.04	areal	5	8	-2
16:15:10.512 -> euler	9.03	0.04	-0.03	areal	0	-1	-1
16:15:10.512 -> euler	9.03	0.03	-0.03	areal	-8	-3	-1
16:15:10.512 -> euler	9.03	0.03	-0.03	areal	-1	-5	-1
16:15:10.512 -> euler	9.03	0.03	-0.03	areal	1	-2	0
16:15:10.553 -> euler	9.03	0.03	-0.03	areal	1	2	0
16:15:10.553 -> euler	9.03	0.03	-0.03	areal	0	0	0
16:15:10.553 -> euler	9.03	0.03	-0.03	areal	0	0	-1
16:15:10.553 -> euler	9.03	0.04	-0.03	areal	0	1	0
16:15:10.593 -> euler	9.03	0.03	-0.03	areal	-1	0	-2
16:15:10.593 -> euler	9.03	0.03	-0.03	areal	-1	-2	-2
16:15:10.593 -> euler	9.03	0.03	-0.03	areal	-2	0	-1
16:15:10.593 -> euler	9.03	0.03	-0.03	areal	0	1	-1
16:15:10.633 -> euler	9.03	0.04	-0.03	areal	5	3	-1
16:15:10.633 -> euler	9.03	0.04	-0.03	areal	3	6	0
16:15:10.633 -> euler	9.03	0.04	-0.04	areal	2	8	0
16:15:10.633 -> euler	9.03	0.04	-0.04	areal	2	7	0
16:15:10.671 -> euler	9.03	0.04	-0.04	areal	2	8	-1
16:15:10.671 -> euler	9.03	0.04	-0.03	areal	2	8	-1
16:15:10.671 -> euler	9.03	0.04	-0.03	areal	2	-1	-1
16:15:10.671 -> euler	9.03	0.04	-0.03	areal	6	-7	-2
16:15:10.714 -> euler	9.03	0.04	-0.03	areal	8	-4	-3
16:15:10.714 -> euler	9.03	0.04	-0.03	areal	10	4	-4
16:15:10.714 -> euler	9.03	0.03	-0.03	areal	16	13	-2
16:15:10.714 -> euler	9.03	0.03	-0.03	areal	15	24	-3
16:15:10.754 -> euler	9.03	0.02	-0.03	areal	15	34	-2
16:15:10.754 -> euler	9.02	0.02	-0.03	areal	22	30	-1
16:15:10.754 -> euler	9.02	0.02	-0.01	areal	39	8	-4
16:15:10.754 -> euler	9.02	0.01	-0.01	areal	52	-20	-4
16:15:10.791 -> euler	9.03	-0.01	-0.00	areal	58	-34	-6
16:15:10.791 -> euler	9.03	-0.02	-0.01	areal	53	-28	-6
16:15:10.791 -> euler	9.01	-0.03	-0.02	areal	51	-13	-3
16:15:10.791 -> euler	9.00	-0.05	-0.02	areal	52	-5	-2
16:15:10.833 -> euler	8.97	-0.07	-0.03	areal	60	4	-1
16:15:10.833 -> euler	8.95	-0.09	-0.04	areal	64	29	-2
16:15:10.833 -> euler	8.91	-0.11	-0.05	areal	62	65	-2
16:15:10.833 -> euler	8.89	-0.14	-0.05	areal	46	81	4
16:15:10.874 -> euler	8.85	-0.17	-0.05	areal	5	72	9
16:15:10.874 -> euler	8.82	-0.20	-0.04	areal	-40	71	12
16:15:10.874 -> euler	8.80	-0.22	-0.02	areal	-61	72	17
16:15:10.874 -> euler	8.79	-0.23	0.00	areal	-43	58	17
16:15:10.914 -> euler	8.78	-0.23	0.03	areal	1	31	12
16:15:10.914 -> euler	8.79	-0.24	0.06	areal	43	-2	6
16:15:10.914 -> euler	8.80	-0.24	0.08	areal	52	-29	5
16:15:10.914 -> euler	8.82	-0.26	0.10	areal	46	-33	4
16:15:10.954 -> euler	8.84	-0.27	0.11	areal	42	-34	6
16:15:10.954 -> euler	8.86	-0.28	0.12	areal	59	-71	4
16:15:10.954 -> euler	8.89	-0.30	0.12	areal	93	-70	-2
16:15:10.954 -> euler	8.90	-0.31	0.12	areal	122	-59	-3
16:15:10.994 -> euler	8.91	-0.33	0.10	areal	156	-42	-4
16:15:10.994 -> euler	8.91	-0.35	0.08	areal	189	-35	-6
16:15:10.994 -> euler	8.90	-0.38	0.06	areal	189	-11	-6
