	0.02	-0.00	areal	0	0	-4
16:29:13.078 -> euler	15.39	0.01	-0.01	areal	0	-1	-3
16:29:13.078 -> euler	15.39	0.01	-0.01	areal	0	-1	0
16:29:13.078 -> euler	15.39	0.01	-0.01	areal	0	-1	0
16:29:13.114 -> euler	15.39	0.01	-0.01	areal	0	-1	0
16:29:13.114 -> euler	15.39	0.01	-0.01	areal	0	-1	0
16:29:13.114 -> euler	15.39	0.01	-0.01	areal	0	-1	-1
16:29:13.114 -> euler	15.39	0.01	-0.01	areal	1	-1	-2
16:29:13.157 -> euler	15.39	0.01	-0.01	areal	1	-1	-2
16:29:13.157 -> euler	15.39	0.01	-0.01	areal	1	-1	-3
16:29:13.157 -> euler	15.39	0.01	-0.01	areal	1	0	-4
16:29:13.157 -> euler	15.39	0.01	-0.01	areal	1	0	-3
16:29:13.197 -> euler	15.39	0.01	-0.01	areal	1	-1	-3
16:29:13.197 -> euler	15.39	0.01	-0.01	areal	1	-1	-3
16:29:13.197 -> euler	15.39	0.01	-0.01	areal	1	-1	-3
16:29:13.197 -> euler	15.39	0.01	-0.01	areal	2	0	-4
16:29:13.235 -> euler	15.39	0.01	-0.01	areal	2	0	-3
16:29:13.235 -> euler	15.39	0.01	-0.01	areal	2	0	-1
16:29:13.235 -> euler	15.39	0.01	-0.01	areal	3	0	-4
16:29:13.235 -> euler	15.39	0.01	-0.01	areal	3	1	-4
16:29:13.273 -> euler	15.39	0.01	-0.01	areal	2	1	-5
16:29:13.273 -> euler	15.39	0.01	-0.01	areal	1	1	-4
16:29:13.273 -> euler	15.39	0.01	-0.01	areal	1	2	-5
16:29:13.273 -> euler	15.39	0.01	-0.01	areal	1	2	-3
16:29:13.315 -> euler	15.39	0.01	-0.01	areal	1	2	-1
16:29:13.315 -> euler	15.39	0.01	-0.01	areal	1	1	-1
16:29:13.315 -> euler	15.39	0.01	-0.01	areal	2	2	-3
16:29:13.315 -> euler	15.39	0.01	-0.01	areal	1	1	-3
16:29:13.352 -> euler	15.39	0.01	-0.01	areal	0	0	-4
16:29:13.352 -> euler	15.39	0.01	-0.01	areal	0	0	-4
16:29:13.352 -> euler	15.39	0.01	-0.01	areal	0	0	-2
16:29:13.397 -> euler	15.39	0.01	-0.01	areal	-1	1	-2
16:29:13.397 -> euler	15.39	0.01	-0.01	areal	-1	1	-3
16:29:13.397 -> euler	15.39	0.01	-0.01	areal	0	1	0
16:29:13.397 -> euler	15.39	0.01	-0.01	areal	0	0	0
16:29:13.397 -> euler	15.39	0.01	-0.01	areal	0	0	0
16:29:13.436 -> euler	15.39	0.01	-0.01	areal	1	0	0
16:29:13.436 -> euler	15.39	0.01	-0.01	areal	0	0	-1
16:29:13.436 -> euler	15.39	0.01	-0.01	areal	0	0	-2
16:29:13.436 -> euler	15.39	0.02	-0.00	areal	0	0	-1
16:29:13.472 -> euler	15.39	0.01	-0.01	areal	0	-1	-2
16:29:13.472 -> euler	15.39	0.01	-0.01	areal	0	0	-1
