6659499	77.70	14.58	-2.15		-201	-802	1462
6659753	84.53	11.20	-3.98		-99	-210	1166
6659905	84.51	11.01	-4.05		-89	-163	1156
6660158	89.04	9.15	-5.28		237	217	1537
6660308	89.21	9.13	-5.44		284	232	1536
6660559	88.07	3.06	-6.22		569	1225	1570
6660811	98.34	3.27	-0.50		-368	1110	1729
6660964	98.98	3.18	-0.15		-471	1091	1693
6661217	118.25	12.27	11.22		-2148	-1763	1685
6661475	98.89	17.44	6.38		-1189	-1293	1825
6661730	92.65	13.71	7.99		-1770	-718	1448
6661883	92.55	13.43	7.92		-1781	-622	1436
6662138	93.12	14.26	11.11		-2012	-233	2015
6662393	86.85	16.71	13.11		-2635	-1011	1843
6662650	86.54	12.03	9.60		-1814	-955	1328
6662803	86.39	11.68	9.28		-1764	-886	1296
6663058	56.20	17.60	-93.38		6311	2680	7635
6663213	51.96	18.31	-99.82		6086	2717	8975
6663468	43.13	13.88	-134.51		7184	-2780	15714
6663727	80.02	23.35	-90.37		9467	35	8965
6663879	80.96	22.98	-88.59		9529	25	8745
6664132	65.35	7.51	-53.62		7583	-2796	4050
6664388	28.60	-2.45	-40.93		4955	-4529	3576
6664544	56.30	-78.57	48.28		-30585	-27044	2603
6664804	2.22	1.78	-22.14		2090	-3704	1895
6665058	-6.15	-2.00	-16.64		2067	-3148	2276
6665314	-10.09	-5.55	-12.57		2603	-2891	2414
6665470	-10.20	-5.55	-12.45		24451	4193	22732
6665730	-18.02	1.53	-12.28		918	-2853	2265
6665986	-30.69	9.36	-13.94		-813	-2536	2010
6666140	71.53	nan	30.26		-12949	-28227	-10618
6666399	-30.88	2.09	-12.33		568	-3108	2155
6666654	-25.25	2.04	-11.56		738	-2897	2349
6666809	-25.15	2.05	-11.48		752	-2894	2361
6667064	-12.38	7.66	-2.30		1517	-1871	2320
6667218	-11.73	7.87	-1.86		-10993	27166	-11437
6667479	-3.73	15.93	4.55		-512	-365	2323
