2437133	125.56	-24.12	19.91		-6142	2108	2286
2437491	125.79	18.62	-2.07		1463	-1971	430
2437646	125.36	19.21	-2.54		1515	-1984	414
2437902	123.07	21.78	-9.33		3207	-1713	711
2438056	123.36	21.25	-9.00		3110	-1646	696
2438311	131.67	-4.25	17.22		-3223	-926	924
2438466	131.60	-4.85	18.01		-3487	-930	1008
2438723	128.50	-1.54	18.58		-3417	-1400	779
2438979	130.29	1.54	9.10		-2259	-795	276
2439132	130.47	1.62	8.69		-2242	-688	287
2439385	138.63	12.44	-7.42		1270	-311	370
2439639	131.07	19.51	-11.28		3120	-870	760
2439793	131.09	19.56	-11.08		3128	-927	715
2440049	127.85	-7.61	12.03		-3204	-18	1220
2440204	127.39	-8.67	12.91		-3506	52	1287
2440458	103.79	-20.57	31.59		-6006	2151	3116
2440716	111.60	-9.04	24.67		-5276	560	2357
2440870	111.65	-8.76	24.15		-5197	565	2312
2441125	106.00	-3.10	15.78		-3810	789	1833
2441280	105.87	-2.99	15.77		-3761	783	1833
2441535	99.46	5.77	13.80		-2782	18	2016
2441687	99.24	6.22	13.90		-2766	-71	2000
2441939	112.14	9.23	10.43		-1588	-2568	-946
2442196	92.48	20.79	-123.94		1143	260	14216
2442454	101.98	15.70	-131.36		6154	3836	16729
2442611	-44.78	nan	64.24		-22425	-19815	-30504
2442870	123.08	18.37	-82.57		7223	6129	8731
2443127	116.02	19.98	-53.78		7698	1988	3161
2443384	70.20	7.81	-38.25		5735	-2980	3165
2443539	66.80	7.41	-37.80		5307	3948	7583
2443793	25.80	-31.62	-42.33		7429	-4412	5275
2444051	18.81	-38.44	-40.22		7704	-4955	6015
2444208	18.46	-38.30	-39.72		-9191	23106	-26254
2444469	9.82	-30.00	-23.52		6151	-3672	4637
2444726	8.03	-24.58	-16.42		5024	-2833	3995
2444982	15.50	-18.56	-15.07		5569	-2301	3662
2445240	17.33	-11.40	-10.65		3967	-787	3383
2445395	16.81	-11.17	-10.65		4218	-663	3334
2445651	11.85	-1.98	-5.66		1985	-1652	2673
2445806	45.31	nan	-44.76		-23112	-32377	12823
2446064	19.41	1.86	9.50		1130	489	2774
2446215	19.53	1.81	9.72		-13724	-32202	8012
2446472	31.88	8.11	18.62		433	1731	3461
2446622	32.12	8.50	18.60		338	1653	3479
2446875	49.42	23.36	18.00		-1614	-562	2925
2447130	51.00	33.77	20.38		-2832	-1446	3131
2447387	58.93	42.49	24.11		-3887	-2182	3415
2447543	59.72	42.72	24.00		-5041	6210	-25359
2447801	60.28	48.14	15.70		-3190	-4136	3410
2448057	54.52	48.43	16.26		-3635	-3427	3559
2448415	55.01	44.14	19.78		-4389	-3115	2993
2448571	54.90	43.67	19.58		-4343	-3105	2927
2448827	39.82	16.78	12.77		-1499	-6	808
2448978	39.39	16.27	12.67		-1409	54	752
2449230	31.13	4.18	4.59		1254	147	752
2449379	31.77	4.08	4.39		1346	113	793
2449630	42.15	22.18	9.69		-2004	-1293	1109
2449885	45.90	24.04	10.26		-1831	-1560	1333
2450142	47.03	20.87	9.17		-1798	-1307	953
2450295	47.09	20.61	8.96		-1732	-1313	944
2450549	47.89	11.30	5.53		-275	-826	566
2450801	42.23	-0.61	1.96		1799	273	804
2450952	41.95	-1.11	1.75		1886	303	827
2451203	28.32	-18.14	-4.20		4741	298	1868
2451356	27.83	-18.53	-4.20		4802	286	1908
2451610	11.83	-23.49	3.03		5054	320	2608
