8.69	-13.68	61.29		627	9671	6502
8.57	-13.40	60.64		663	9593	6399
-3.94	-0.55	45.28		1061	7731	4429
-3.96	-0.56	45.01		1071	7682	4363
26.04	-11.64	23.93		433	5838	3182
27.33	-11.83	23.18		361	5815	3149
43.49	3.57	23.90		-1601	4935	2879
43.08	4.42	24.31		-1747	4890	2893
40.00	25.37	24.00		-3218	3118	2852
39.82	25.50	23.74		-3192	3069	2844
32.46	14.69	9.15		-835	2582	1844
32.36	14.31	8.73		-753	2569	1860
30.00	3.14	-1.33		557	2392	1730
30.04	3.00	-1.66		600	2375	1720
363	2999	1960
58.06	-2.95	1.19		1459	31086	0.88		56	0.87		58	14.27		-8	14.73		145	16.62	158	16.32	106.10	0.08	15.22		-886	1719	1967
106.22	0.39	15.46		-925	1656	1956
127.52	20.57	16.58		1138	-180	2485
128.28	21.06	16.90		1181	-231	2551
127.74	13.88	11.09		473	169	2221
127.36	13.43	10.65		432	255	2203
119.28	6.50	8.53		163	1160	2191
118.61	6.62	8.98		82	1177	2208
123.59	36.79	27.09		198	-2201	3254
124.15	37.75	27.36		269	-2235	3343
139.46	48.55	28.37		2135	-2449	4493
138.95	47.87	27.97		2065	-2432	4424
115.49	9.97	11.14		-369	1582	1717
115.35	9.43	10.79		-356	1656	1691
16	11.40	115.13	23.58	11.28	1	643	24	2158	10.80	112	21.18	119	21.37	185	14.77	127.95	19.74	14.85		-48	491	1346
153.49	35.40	39.53		574	-1628	3634
154.13	35.61	40.14		623	-1637	3673
152.39	30.66	30.27		974	-1398	2205
152.25	30.62	29.92		979	-1362	2177
152.15	28.92	26.67		956	-884	1900
152.23	28.84	26.72		948	-886	1903
153.64	19.02	19.64		355	435	1595
153.39	18.25	19.05		305	504	1548
158.65	-20.30	-2.75		-2784	5124	927
158.87	-21.12	-3.07		-2829	5221	919
-168.53	51.57	-171.37		-7675	6124	17163
-161.64	49.94	-160.65		-1837	-13323	-30176
-65.73	26.05	-30.04		-3350	2603	5157
-64.16	25.11	-28.30		-2975	2565	4791
-76.33	-1.-1	-22.17	-7	-32.10	-0	-32.43	-88	-34.16-7	-33.93	7	2440
-21	-28.72	-51	-28.73-99.82	-22.01	-18.77		-2020	-1464	2848
-99.57	-22.25	-18.33		-1927	-1524	2847
-92.46	-17.36	-14.47		-1174	-951	2273
-92.27	-16.99	-14.62		-1174	-923	2282
-87.87	-8.04	-24.01		-1978	-23	2074
-88.16	-8.15	-24.09		-2023	0	2061
-111.74	-23.55	-3.17		-1063	-1573	2350
-111.71	-24.04	-2.16		-1092	-1787	2384
-104.02	-39.83	84.84		6026	1733	10685
-105.14	-39.73	88.37		6042	1670	11159
-167.74	24.45	177.09		-4304	668	13863
-166.70	26.62	178.21		-4585	694	13785
-40.38	67.84	-70.50		-5107	-1360	6066
-39.50	67.56	-70.01		-5102	-1366	6012
