-82.31	-20.77	-10.66		173	575	1474
-82.46	-20.89	-10.76		147	559	1468
-82.47	-20.90	-10.76		140	559	1468
-82.27	-20.89	-10.60		200	563	1478
-82.25	-20.89	-10.62		198	563	1476
-82.14	-20.64	-10.96		123	597	1460
-82.13	-20.64	-10.94		128	596	1461
-82.22	-20.93	-10.50		193	561	1464
-82.23	-20.94	-10.49		191	561	1466
-82.35	-21.06	-10.37		217	548	1470
-82.35	-21.05	-10.38		214	546	1469
-82.47	-20.58	-10.43		193	613	1436
-82.48	-20.57	-10.42		192	615	1438
-83.34	-20.74	-9.92		213	583	1443
--.04	-10.47-.05	-10.4-.19	-10.1-.16	-10.0-.51	-6.42-.29	-6.24-69	13.94	-69	14.13	-92.77	-23.31	-0.91		715	-355	2188
-92.13	-23.99	-1.54		646	-415	2213
-83.34	-24.28	-10.05		182	136	2069
-83.44	-24.15	-10.01		165	157	2051
-88.19	-11.67	-8.21		635	1278	520
-88.42	-10.89	-8.44		581	1409	459
-21.91	-28.34	177.52		-3639	5150	14141
-22.23	-25.65	176.40		-18928	-18231	14510
4.80	-32.78	149.43		-3966	4854	13672
6.39	-33.02	146.87		-4077	5083	13624
31.66	-8.73	69.97		-4530	6264	6904
31.30	-8.38	69.24		-4482	6296	6810
20.39	-4.85	45.73		-2254	6208	3620
20.33	-4.80	45.34		2	15.17		2	14.92		25	8.36		-24	8.26		23	4.73		2	4.65		-27	2.47		-21	2.41		-555	108029.30	-1.22	-0.54		-236	592	1283
29.33	-1.18	-0.60		-239	578	1281
29.41	-1.14	-1.96		-124	512	1391
29.53	-1.07	-2.00		-128	493	1392
34.39	-2.57	-3.51		370	673	1544
34.38	-2.52	-3.83		398	687	1552
84.38	-13.65	-45.91		5457	730	5017
85.90	-14.21	-47.41		5744	937	5135
123.69	-11.04	-69.19		6645	5283	6012
123.84	-10.75	-68.61		6506	5259	5942
128.79	-2.15	-41.78		4633	3793	3150
128.81	-2.16	-41.31		4592	3816	3139
147.48	13.69	-25.38		3961	2370	2324
147.95	14.08	-25.27		3979	2386	2335
3	2280
-.04	-2.61		686	140
