-3.76	0.38	-7.75		1505	922	1524
-3.14	0.63	-8.49		1561	913	1531
33.04	27.20	-55.75		2948	-2887	4696
33.12	28.17	-57.22		3059	-2911	4858
48.64	39.37	-44.85		2681	-2753	4450
66	-15.35	60	-15.34	6-20.04		65.43	33.75	-19.59		1284	-1444	1932
68.97	5.82	-7.49		973	2594	1307
69.19	5.59	-7.63		967	2694	1310
64.53	23.69	-11.25		460	114	1850
64.67	23.94	-11.08		462	106	1872
65.11	18.31	-5.86		105	1165	1395
65.10	18.02	-5.98		148	1191	1374
66.29	14.87	-9.66		780	1342	1583
66.27	14.99	-9.72		771	1319	1589
65.55	15.71	-8.84		629	1178	1585
65.49	15.62	-8.69		574	1198	1562
73.39	17.42	-4.76		292	5732	-1006
73.64	19.29	-5.18		267	6621	-1248
-31.22	-81.52	154.42		-5325	11644	10134
-17.81	-83.69	140.80		-5621	100	29.81	187	30.85	7	-4308	34759	54.60	745	33.60	723	33.13	8	20.34		83.85	-6.29	20.19		-1212	2802	2193
110.68	-12.00	22.60		-1886	2229	2246
112.85	-12.63	23.38		-2015	2220	2269
150.24	-29.88	121.85		-2335	-3287	10403
150.49	-28.28	124.77		-15497	-5452	9308
-145.27	53.01	-150.80		-4757	2109	11961
-144.94	52.82	-150.69		-4732	2112	11981
-165.17	-6.69	131.27		4996	-5343	15511
-170.38	-8.57	125.53		4570	-5437	15018
177.52	-3.14	-14.35		340	5936	1719
177.83	-2.09	-15.35		454	6013	1756
-170.16	16.91	-32.70		1145	6104	3704
-170.44	17.00	-32.96		1088	6133	3748
84.20	30.89	9.92		570	5682	
