1123	63.39	166.38	16.71	49.26		794	-4685	5054
165.56	16.53	48.89		701	-4653	4998
152.42	4.14	27.21		-649	-2276	2922
152.13	3.73	26.62		-707	-2212	2867
161.82	2.62	-0.05		749	777	1645
162.50	3.22	-0.85		871	826	1679
-165.53	28.74	-17.51		4542	4383	2539
-165.04	29.07	-17.54		4555	4418	2551
-168.21	16.45	-5.63		3264	2019	1888
-168.61	15.70	-5.44		3183	1958	1837
165.32	-11.29	13.71		-1321	-533	2289
164.34	-11.67	14.42		-1425	-591	2354
145.80	-7.02	31.29		-2645	-1626	3258
145.89	-6.54	31.48		-2560	-1675	3266
141.88	4.65	24.01		-834	-1371	2841
8	17.58		-1078	-5107	20.12	10	20.20	13	31.39	104	32.03	14	31.15	1	30.38		1	24.36		171.85	2.35	24.98		909	-890	2533
-177.93	0.96	37.38		874	-1684	3439
-177.60	0.93	37.15		888	-1683	3400
-165.29	-3.57	21.21		840	303	1668
-165.48	-3.90	21.71		815	363	1742
-163.89	-12.11	53.70		1521	-2916	4690
-163.87	-12.10	52.35		1478	-2833	4565
-144.20	-16.77	15.11		-788	489	1330
-143.94	-17.02	15.25		-675	351	1402
-119.21	-29.23	46.94		3394	-1115	4142
-119.07	-29.43	47.29		3502	-1176	4183
-120.33	-21.95	15.68		-288	-186	1528
-120.43	-21.32	15.21		-276	-159	1501
-128.43	-12.61	5.21	-130.81	-20.52	25.41-3.93	25.0-3.35	24.2-.12	13.13		284	15-.17	13.32-6.04	26.9-6.25	27.3-6.82	14.76-132.60	-16.82	13.78		-36	1039	1902
134.85	23.19	82.86		-18614	775	15214
139.16	36.65	83.43		-16857	-2298	15460
-13.57	10.91	80.29		-118	9779	5523
-13.84	12.74	78.88		-68	9645	5539
-36.84	20.38	2.73		-3970	3330	2059
-37.34	19.24	1.06		-3941	2972	1967
12.48	-49.54	-53.03		3333	-1959	5133
16.01	-51.78	-56.19		3594	-1868	5442
39.54	12.42	153.20		-3545	7329	12043
37.87	15.22	151.00		-3140	7873	11938
-102.64	31.17	37.51		4599	4591	2604
-102.49	30.66	37.05		4589	4615	2589
436	-101.25		3858	-2930	931544.97	-36.17	-97.45		3917	-29
