-97.44	-21.53	-3.38		343	652	1568
-97.43	-21.51	-3.41		338	656	1570
-96.12	-22.00	-4.08		306	608	1567
-96.10	-22.02	-4.06		315	604	1568
-96.63	-22.12	-3.89		319	601	1586
-96.66	-22.12	-3.91		320	599	1585
-97.30	-20.68	-5.08		69	817	1291
-97.17	-20.55	-5.12		85	842	1263
-82.16	-15.16	-14.85		-482	1192	2003
-82.09	-15.07	-15.38		-557	1187	2052
-76.83	-10.28	-18.81		-1150	1685	1465
-76.68	-10.09	-18.67		-1121	1722	1455
-73.45	-11.64	-18.44		-760	1347	1467
-73.53	-11.69	-18.39		-762	1333	1469

-82.47	-15.09	-14.73-.04	-12.3-.13	-12.1-.25	-10.6-.29	-10.6-	1648
-77.31	-19	429	635-77.58	-19.98	-9.20		412	588	1666
-77.56	-19.99	-9.20		413	589	1666
-74.80	-19.91	-8.87		537	633	1637
-74.68	-19.92	-8.86		545	631	1638
-72.14	-20.78	-7.93		744	581	1684
-72.11	-20.81	-7.92		749	584	1687
-69.89	-17.96	-8.98		1150	1621	146
-69.14	-18.01	-9.44		1290	1890	-220
11.00	-26.93	-154.28		-2953	57	15241
10.96	-27.08	-153.37		-3156	-593	15389
-28.43	-46.73	-102.52		-4207	-3528	7315
-28.70	-46.80	-102.17		1198	-26281	20091
-25.12	-59.08	-143.75		-8314	-1193	9959
-23.98	-59.95	-144.46		-8171	-1264	9942
5.27	-79.30	-176.33		-7290	-517	8226
886	102.76929	80.48	912	80.20	921	72.95	909	72.49	1.87	52.29	1.63	51.78121.46	-26.97	37.10		-5916	17	2771
121.55	-26.80	36.85		-5889	5	2746
125.83	-21.19	28.06		-4885	-39	1946
125.91	-21.01	27.85		-4862	-41	1930
145.39	-11.19	20.99		-2590	-1291	1668
147.40	-11.05	20.73		-2421	-1421	1657
-152.15	-7.18	-21.64		-432	3504	300
-152.89	-5.49	-22.57		-263	3820	337
-93.83	64.29	36.42		7372	7462	7482
-88.52	64.08	40.59		7313	7596	7607
-33.69	44.11	62.66		3052	8896	7512
-33.97	44.05	62.00		2971	8854	7466
-35.37	34.42	38.07		179	8002	4636
-35.03	33.90	37.40		175	7901	4553
-27.39	25.28	9.86		-1482	46136.17	22.02	13.39	
