-.88	-34.2-.07	-32.37		522	--17.09	16.5-22	32.03	-23.49	16.	2916
-54	25.03	-15	13.56	-82	13.29	-9	5.63		-32.66	8.9777
-27.98	-6.73	-16.58		368	152	1843
-27.63	-7.54	-17.78		390	13	1882
-1.58	-22.92	-90.26		640	-4515	8549
-1.44	-22.51	-90.66		559	-4583	8515
0.04	-15.91	-58.29		1625	-2878	4622
-0.77	-15.87	-57.58		1526	-2808	4528
-7.33	-15.72	-45.25		1185	-1959	3200
-7.00	-15.77	-45.27		1243	-1952	3193
-6.08	-13.00	-39.21		1138	-1233	2633
-6.13	-12.88	-39.08		1116	-1219	2622
-5.20	-8.78	-33.48		820	-618	2098
-5.04	-8.63	-33.19		815	-583	2076
1.17	-4.60	-27.44		565	210	1664
1.31	-4.57	-27.52		573	188	1678
3		-110911.39	-51.3-16136	-181.50	-25.941.93	-28.2
1.80	-21.01.54	-19.672	31.12	74	32.88		106.81	56.67	109.09		-6607	2832	10305
105.23	55.91	109.21		-6586	3035	10193
57.53	31.68	75.96		-5238	5245	7473
57.08	31.41	75.19		-5242	5185	7372
44.34	26.28	54.50		-4257	4842	5045
43.91	26.32	54.03		-4215	4811	4994
76.07	32.71	44.64		-5120	780	4261
79.87	33.20	45.12		-5050	479	4300
-137.97	32.03	140.92		406	-3835	11390
-136.01	31.36	143.08		463	-3573	11605
-73.89	8.81	-147.70		-1789	-266	13947
-73.34	8.66	-147.03		-1851	-253	13895
-95.43	49.22	147.52		5729	-4384	12841
-105.30	51.49	141.11		5111	-4488	12386
157.59	10.8	2244
17	32.90	113	33.33	180	50.11	103	50.15	-6.08	26.1
-142.99	-26.64	25.50		-1937	-876	28
