30.19	-69.25	-153.92		-3976	-6781	13900
33.40	-67.97	-157.45		-3984	-6655	14120
78.24	-60.97	164.20		-2883	-4724	14137
79.61	-62.13	163.15		-2879	-4786	13989
-129.91	-59.47	46.94		2004	-6393	6932
-128.78	-58.74	47.11		2215	-6342	6911
-109.06	-42.26	49.39		5415	-4422	6093
-108.83	-41.82	49.18		5430	-4375	6060
-101.88	-30.74	36.28		4099	-2998	4534
-101.98	-30.62	35.94		4038	-2984	4512
-103.74	-27.79	21.82		1986	-2734	3455
-103.58	-27.56	21.42		1958	-2707	3423
-97.71	-16.34	8.90		1273	-1309	2332
-97.56	-16.08	8.71		1261	-1267	2318
-5	4.29		-56	4.31		-60	2.76	-1	2.72		-14	1.84		-16	1.85	-7	1.48		-89.95	-9.27	1.39		453	-246	1854
-28.93	-16.53	-23.30		1787	-806	2444
-27.08	-16.31	-24.98		1740	-946	2527
21.49	3.93	-55.81		2982	-2675	4527
22.80	3.72	-54.60		3010	-2489	4444
21.47	2.85	-24.35		1433	526	2039
21.50	3.00	-24.25		1440	549	2038
12.95	20.76	-45.04		1655	2452	2912
10.84	22.38	-48.33		1426	2339	3278
-41.91	-32.84	-173.68		-3623	2904	14780
-41.48	-34.20	-173.76		-3689	2953	14677
134.80	-79.54	10.55		-5229	4258	7631
133.89	-78.09	10.91		-5248	4299	7459
167	5.58	1.44	5.52		-2248	291.70	4.38	1.62	4.34	1.57	3.96	1.50	3.96	
192	2.98	186	2.93	117.91	-6.72	1.50		-668	1291	1324
117.97	-6.68	1.48		-681	1295	1308
120.71	-2.77	0.95		-350	733	1363
120.57	-2.56	0.95		-334	714	1341
119.13	3.41	-0.61		160	162	1522
119.13	3.44	-0.64		157	157	1524
121.03	5.18	-0.42		302	56	1556
121.10	5.24	-0.41		307	54	1559
121.68	5.27	-0.64		319	8	1497
121.65	5.20	-0.63		305	22	1498
121.16	4.14	0.31		93	65	1481
121.15	4.12	0.31		89	59	1482
121.27	5.52	-2.19		469	37	1439
121.12	5.66	-2.31		487	24	1437
