980432	-98.46	-1.84	11.68		-164	586	2787
980686	-96.29	-2.16	12.48		-50	501	3078
980938	-104.74	1.02	-2.44		-1693	1870	3361
981092	-105.37	1.07	-3.38		-1767	1919	3341
981348	-136.00	-34.23	5.20		-14143	10980	6217
981607	-101.01	54.48	177.52		-4271	-6873	14979
981867	27.75	43.59	-49.38		1227	-6271	10129
982023	28.56	41.62	-47.39		1116	-6146	9739
982278	-2.29	-3.19	-28.14		826	-4497	5457
982431	-2.27	-3.45	-27.84		832	-4492	5429
982685	-29.12	-2.60	-12.34		-554	-1605	4229
982841	-30.78	-2.38	-12.01		-560	-1608	4249
983097	-34.57	2.24	-4.42		-626	-530	4106
983248	-34.49	2.20	-4.39		-661	-574	4101
983501	-23.70	0.82	-4.34		-1110	-593	4182
983756	-5.21	-6.18	-3.14		803	-611	4219
983907	-4.66	-6.37	-3.09		856	-595	4253
984159	9.67	1.81	2.63		-959	-169	4362
984307	9.41	2.37	2.76		-1109	-215	4345
984558	10.05	7.12	12.42		-1037	959	4221
984710	73.36	-28.66	-6.92		14432	-21349	-2897
984969	2.05	7.48	7.84		-991	296	4124
985116	1.79	7.51	7.72		-980	279	4124
985365	-6.99	2.26	2.29		-166	-333	4034
985515	-7.09	2.05	2.23		-136	-345	4043
985765	-41.40	-6.73	-3.76		-158	-1059	4120
986020	-66.87	-22.79	-12.57		-504	-2853	4747
986177	-0.35	nan	38.97		-8567	-9025	30500
986431	-120.20	-38.35	-18.68		-3626	-2053	5421
986691	-129.68	-35.95	-16.21		-3177	-1329	5103
986951	-131.40	-26.80	-11.16		-2239	-628	4210
987210	-131.75	-21.62	-8.24		-1414	-442	3940
987467	-131.43	-20.04	-5.85		-1252	-526	3736
987624	-131.27	-19.92	-5.68		-1186	-551	3736
987882	-135.66	-18.35	-4.43		-1048	-431	3471
988139	-132.01	-15.54	-9.46		-1180	416	3586
988396	-126.57	-10.76	-9.78		-441	803	3571
988550	-126.37	-10.68	-9.72		-445	790	3559
988806	-118.15	-18.04	-8.88		-998	-306	3523
988961	-117.93	-18.24	-8.74		-970	-345	3535
989217	-113.65	-16.83	-1.12		36	-669	3185
989371	-113.91	-16.71	-1.10		-19	-678	3169
989626	-116.83	-12.06	-2.15		112	-114	3062
