1935132	-46.11	-9.48	9.07		131	231	3498
1935384	-42.20	-7.58	11.97		170	997	3776
1935536	-42.46	-7.28	11.75		116	973	3765
1935789	-64.82	1.86	3.45		-6279	3412	-611
1935942	-65.73	0.17	5.18		-7803	4022	-1098
1936299	67.68	4.74	12.16		-1132	253	5022
1936451	68.50	4.45	15.28		-1620	417	5009
1936704	56.91	19.99	8.05		-1862	-3189	3628
1936960	6.80	6.41	-21.93		-1403	-3167	4726
1937114	4.85	5.47	-23.01		-299	9125	-27367
1937370	-72.65	-18.33	-70.06		-5654	-2328	8919
1937630	-54.18	0.37	-84.15		-5344	-3263	9806
1937887	-19.70	29.51	-74.48		-3597	-4985	9328
1938146	33.02	44.78	-40.05		-854	-5020	6419
1938301	34.97	45.02	-38.43		-811	-4993	6369
1938558	78.09	23.07	13.00		-3339	-2209	5584
1938814	95.61	-11.66	20.72		-3123	2263	4716
1938970	94.89	-12.29	21.14		-3185	2340	4709
1939227	51.36	-8.62	35.72		-2842	2674	5459
1939382	36.90	nan	95.18		-17601	21655	-25427
1939639	90.79	-0.51	22.09		-2007	-727	4493
1939895	118.33	-8.60	13.78		-1427	-369	4169
1940049	119.52	-8.91	14.00		-22105	22445	-17057
1940412	-168.72	-22.47	-2.57		-2318	67	4261
1940568	-167.97	-22.12	-2.72		-2253	104	4279
1940826	-138.45	-13.19	-8.77		-1608	540	3781
1941083	-122.10	-12.52	4.14		-341	-368	3803
1941238	171.20	1.03	-172.99		2692	-3571	-32399
1941498	-91.53	-8.60	54.56		4948	410	6565
1941752	-83.82	-14.65	21.88		1594	-857	4934
1942009	-74.66	-9.13	-11.88		-2799	-1071	2698
1942167	79.17	nan	3.24		-6883	30987	-24978
1942422	-60.96	-37.47	37.87		4068	515	5550
1942577	70.74	nan	-25.40		9175	-29191	-26908
1942834	-66.62	-5.39	-1.21		-1679	-100	2655
1943090	-63.30	4.82	-6.75		-2950	978	3038
1943243	-62.49	4.38	-6.17		-2873	951	3080
1943498	-47.70	-22.94	15.68		1925	-616	4220
1943654	-47.40	-22.25	15.12		1789	-580	4231
1943910	-53.82	-4.17	5.45		-851	293	2868
1944062	-53.87	-4.07	5.55		-867	323	2896
1944416	-51.13	-7.42	9.19		-114	401	3280
1944568	-51.16	-7.42	9.13		-119	393	3276
1944821	-50.21	-6.75	8.34		-294	329	3202
1945074	-48.00	-6.45	8.74		-262	425	3261
1945227	-47.96	-6.46	8.74		-266	429	3258
1945480	-46.76	-8.50	8.16		-227	99	3189
1945630	-46.70	-8.57	8.24		-18625	-11678	19315
1945890	-51.78	-2.53	3.18		-1195	983	3284
1946144	-78.11	4.40	-5.02		-2329	1870	2144
1946299	-79.24	4.29	-5.08		-2382	1927	2061
1946555	83.50	-6.45	-35.37		312	2058	9743
1946707	86.84	-10.64	-27.02		-1153	2601	9209
1946966	143.44	67.49	146.51		-7445	-3356	13678
1947226	-61.37	49.89	-38.59		-6280	-421	7750
1947484	-127.64	8.28	-6.62		695	3670	4446
1947636	-131.25	6.45	-5.82		872	3424	4474
1947891	-169.31	-52.79	-14.97		-5297	1563	6515
1948151	-143.90	-48.45	-46.78		-5266	3186	7068
1948411	-130.79	-31.72	-48.01		-4701	2584	6189
1948672	-93.96	-23.10	-39.65		-4297	-720	5262
1948930	-87.55	-13.37	-29.88		-3477	-59	4401
1949086	28.11	nan	30.64		5379	32449	-2486
